
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.6670, Train Acc: 0.8000, Test Loss: 0.7112, Test Acc: 0.5800, Epoch time: 4.417193 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.5938, Train Acc: 0.8000, Test Loss: 0.6999, Test Acc: 0.5100, Epoch time: 4.360188 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.5352, Train Acc: 0.8000, Test Loss: 0.6958, Test Acc: 0.5100, Epoch time: 4.333411 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.4895, Train Acc: 0.8000, Test Loss: 0.6959, Test Acc: 0.5100, Epoch time: 4.335895 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.4543, Train Acc: 0.8000, Test Loss: 0.6969, Test Acc: 0.5100, Epoch time: 4.351640 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.4269, Train Acc: 0.8000, Test Loss: 0.6959, Test Acc: 0.5100, Epoch time: 4.369243 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.4043, Train Acc: 0.8000, Test Loss: 0.6909, Test Acc: 0.5100, Epoch time: 4.369612 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.3845, Train Acc: 0.8000, Test Loss: 0.6808, Test Acc: 0.5100, Epoch time: 4.387736 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.3658, Train Acc: 0.8000, Test Loss: 0.6656, Test Acc: 0.5100, Epoch time: 4.375166 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.3475, Train Acc: 0.8000, Test Loss: 0.6457, Test Acc: 0.5100, Epoch time: 4.403808 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.3291, Train Acc: 0.8000, Test Loss: 0.6220, Test Acc: 0.5100, Epoch time: 4.399810 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.3106, Train Acc: 0.8000, Test Loss: 0.5955, Test Acc: 0.5100, Epoch time: 4.446923 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.2923, Train Acc: 0.8000, Test Loss: 0.5672, Test Acc: 0.5100, Epoch time: 4.405918 seconds
