
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.7155, Train Acc: 0.2000, Test Loss: 0.6781, Test Acc: 0.5100, Epoch time: 7.555897 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.5515, Train Acc: 0.8000, Test Loss: 0.7446, Test Acc: 0.5100, Epoch time: 7.898619 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.4730, Train Acc: 0.8000, Test Loss: 0.8405, Test Acc: 0.5100, Epoch time: 7.320400 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.4509, Train Acc: 0.8000, Test Loss: 0.9287, Test Acc: 0.5100, Epoch time: 8.463077 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.4530, Train Acc: 0.8000, Test Loss: 0.9880, Test Acc: 0.5100, Epoch time: 7.544603 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.4583, Train Acc: 0.8000, Test Loss: 1.0130, Test Acc: 0.5100, Epoch time: 7.061073 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.4573, Train Acc: 0.8000, Test Loss: 1.0060, Test Acc: 0.5100, Epoch time: 7.087886 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.4477, Train Acc: 0.8000, Test Loss: 0.9728, Test Acc: 0.5100, Epoch time: 7.086274 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.4305, Train Acc: 0.8000, Test Loss: 0.9197, Test Acc: 0.5100, Epoch time: 7.096461 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.4077, Train Acc: 0.8000, Test Loss: 0.8534, Test Acc: 0.5100, Epoch time: 7.088594 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.3821, Train Acc: 0.8000, Test Loss: 0.7805, Test Acc: 0.5100, Epoch time: 7.247714 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.3564, Train Acc: 0.8000, Test Loss: 0.7072, Test Acc: 0.5100, Epoch time: 7.118682 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.3334, Train Acc: 0.8000, Test Loss: 0.6390, Test Acc: 0.5100, Epoch time: 7.194255 seconds
