
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.6615, Train Acc: 0.8000, Test Loss: 0.6922, Test Acc: 0.5100, Epoch time: 8.892210 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.5882, Train Acc: 0.8000, Test Loss: 0.6871, Test Acc: 0.5100, Epoch time: 8.984651 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.5303, Train Acc: 0.8000, Test Loss: 0.6894, Test Acc: 0.5100, Epoch time: 8.317823 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.4860, Train Acc: 0.8000, Test Loss: 0.6960, Test Acc: 0.5100, Epoch time: 8.265986 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.4526, Train Acc: 0.8000, Test Loss: 0.7028, Test Acc: 0.5100, Epoch time: 8.182484 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.4269, Train Acc: 0.8000, Test Loss: 0.7058, Test Acc: 0.5100, Epoch time: 8.004441 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.4056, Train Acc: 0.8000, Test Loss: 0.7020, Test Acc: 0.5100, Epoch time: 7.970237 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.3861, Train Acc: 0.8000, Test Loss: 0.6903, Test Acc: 0.5100, Epoch time: 7.877439 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.3668, Train Acc: 0.8000, Test Loss: 0.6707, Test Acc: 0.5100, Epoch time: 8.124051 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.3468, Train Acc: 0.8000, Test Loss: 0.6441, Test Acc: 0.5100, Epoch time: 8.812017 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.3260, Train Acc: 0.8000, Test Loss: 0.6122, Test Acc: 0.5300, Epoch time: 7.972456 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.3048, Train Acc: 0.8000, Test Loss: 0.5765, Test Acc: 0.5700, Epoch time: 7.967296 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.2837, Train Acc: 0.8000, Test Loss: 0.5391, Test Acc: 0.6100, Epoch time: 7.833984 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.2634, Train Acc: 0.8000, Test Loss: 0.5015, Test Acc: 0.6200, Epoch time: 8.032686 seconds
Train Size: 5, Epoch: 15/100, Train Loss: 0.2443, Train Acc: 0.8000, Test Loss: 0.4651, Test Acc: 0.7000, Epoch time: 7.564814 seconds
Train Size: 5, Epoch: 16/100, Train Loss: 0.2270, Train Acc: 1.0000, Test Loss: 0.4311, Test Acc: 0.7600, Epoch time: 7.903005 seconds
