
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
Train Size: 5, Epoch: 1/100, Train Loss: 0.6032, Train Acc: 1.0000, Test Loss: 0.6150, Test Acc: 0.7500, Epoch time: 7.137589 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.5352, Train Acc: 1.0000, Test Loss: 0.6005, Test Acc: 0.5900, Epoch time: 7.542701 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.4775, Train Acc: 1.0000, Test Loss: 0.5923, Test Acc: 0.5400, Epoch time: 8.028061 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.4296, Train Acc: 0.8000, Test Loss: 0.5888, Test Acc: 0.5100, Epoch time: 7.932972 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.3905, Train Acc: 0.8000, Test Loss: 0.5883, Test Acc: 0.5100, Epoch time: 7.690772 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.3589, Train Acc: 0.8000, Test Loss: 0.5893, Test Acc: 0.5100, Epoch time: 8.455986 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.3334, Train Acc: 0.8000, Test Loss: 0.5902, Test Acc: 0.5100, Epoch time: 8.006182 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.3124, Train Acc: 0.8000, Test Loss: 0.5897, Test Acc: 0.5100, Epoch time: 7.924841 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.2946, Train Acc: 0.8000, Test Loss: 0.5867, Test Acc: 0.5100, Epoch time: 7.555147 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.2788, Train Acc: 0.8000, Test Loss: 0.5804, Test Acc: 0.5100, Epoch time: 7.461662 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.2643, Train Acc: 0.8000, Test Loss: 0.5706, Test Acc: 0.5400, Epoch time: 7.244318 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.2503, Train Acc: 0.8000, Test Loss: 0.5574, Test Acc: 0.5700, Epoch time: 8.564162 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.2366, Train Acc: 0.8000, Test Loss: 0.5411, Test Acc: 0.6000, Epoch time: 8.698669 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.2231, Train Acc: 0.8000, Test Loss: 0.5224, Test Acc: 0.6100, Epoch time: 7.983068 seconds
Train Size: 5, Epoch: 15/100, Train Loss: 0.2098, Train Acc: 0.8000, Test Loss: 0.5018, Test Acc: 0.6300, Epoch time: 7.612942 seconds
Train Size: 5, Epoch: 16/100, Train Loss: 0.1968, Train Acc: 1.0000, Test Loss: 0.4800, Test Acc: 0.6700, Epoch time: 7.750875 seconds
Train Size: 5, Epoch: 17/100, Train Loss: 0.1842, Train Acc: 1.0000, Test Loss: 0.4577, Test Acc: 0.6900, Epoch time: 7.745448 seconds
Train Size: 5, Epoch: 18/100, Train Loss: 0.1723, Train Acc: 1.0000, Test Loss: 0.4355, Test Acc: 0.6900, Epoch time: 8.497719 seconds
Train Size: 5, Epoch: 19/100, Train Loss: 0.1611, Train Acc: 1.0000, Test Loss: 0.4138, Test Acc: 0.7300, Epoch time: 7.661067 seconds
Train Size: 5, Epoch: 20/100, Train Loss: 0.1507, Train Acc: 1.0000, Test Loss: 0.3929, Test Acc: 0.7700, Epoch time: 7.223626 seconds
Train Size: 5, Epoch: 21/100, Train Loss: 0.1411, Train Acc: 1.0000, Test Loss: 0.3733, Test Acc: 0.8300, Epoch time: 7.206483 seconds
