
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.6587, Train Acc: 0.5000, Test Loss: 0.5756, Test Acc: 0.7700, Epoch time: 20.006953 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.5473, Train Acc: 0.8875, Test Loss: 0.5002, Test Acc: 0.8200, Epoch time: 21.239620 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.4726, Train Acc: 0.8500, Test Loss: 0.4343, Test Acc: 0.8800, Epoch time: 20.228433 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.4098, Train Acc: 0.8875, Test Loss: 0.3720, Test Acc: 0.9200, Epoch time: 20.605909 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.3499, Train Acc: 0.9125, Test Loss: 0.3165, Test Acc: 0.9500, Epoch time: 20.890306 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.2950, Train Acc: 0.9500, Test Loss: 0.2706, Test Acc: 0.9600, Epoch time: 21.604063 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.2478, Train Acc: 0.9500, Test Loss: 0.2345, Test Acc: 0.9700, Epoch time: 21.374713 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2091, Train Acc: 0.9750, Test Loss: 0.2067, Test Acc: 0.9700, Epoch time: 21.823929 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.1781, Train Acc: 0.9875, Test Loss: 0.1848, Test Acc: 0.9700, Epoch time: 24.624968 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1529, Train Acc: 0.9875, Test Loss: 0.1665, Test Acc: 0.9700, Epoch time: 23.941074 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1318, Train Acc: 1.0000, Test Loss: 0.1504, Test Acc: 0.9700, Epoch time: 24.420624 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1136, Train Acc: 1.0000, Test Loss: 0.1358, Test Acc: 0.9700, Epoch time: 24.152928 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.0978, Train Acc: 1.0000, Test Loss: 0.1225, Test Acc: 0.9700, Epoch time: 23.929643 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0840, Train Acc: 1.0000, Test Loss: 0.1105, Test Acc: 0.9700, Epoch time: 23.601012 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0721, Train Acc: 1.0000, Test Loss: 0.0998, Test Acc: 0.9800, Epoch time: 23.669880 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0620, Train Acc: 1.0000, Test Loss: 0.0904, Test Acc: 0.9800, Epoch time: 23.643247 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0536, Train Acc: 1.0000, Test Loss: 0.0822, Test Acc: 0.9800, Epoch time: 23.684481 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0466, Train Acc: 1.0000, Test Loss: 0.0752, Test Acc: 0.9800, Epoch time: 24.245299 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0407, Train Acc: 1.0000, Test Loss: 0.0691, Test Acc: 0.9800, Epoch time: 25.661258 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0358, Train Acc: 1.0000, Test Loss: 0.0640, Test Acc: 0.9800, Epoch time: 24.027631 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0317, Train Acc: 1.0000, Test Loss: 0.0595, Test Acc: 0.9800, Epoch time: 24.518847 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0282, Train Acc: 1.0000, Test Loss: 0.0557, Test Acc: 0.9800, Epoch time: 23.533932 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0253, Train Acc: 1.0000, Test Loss: 0.0524, Test Acc: 0.9800, Epoch time: 23.544968 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0227, Train Acc: 1.0000, Test Loss: 0.0496, Test Acc: 0.9800, Epoch time: 23.679085 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0205, Train Acc: 1.0000, Test Loss: 0.0471, Test Acc: 0.9800, Epoch time: 23.808225 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0185, Train Acc: 1.0000, Test Loss: 0.0449, Test Acc: 0.9800, Epoch time: 23.556092 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0168, Train Acc: 1.0000, Test Loss: 0.0431, Test Acc: 0.9800, Epoch time: 23.607193 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0153, Train Acc: 1.0000, Test Loss: 0.0415, Test Acc: 0.9800, Epoch time: 23.573888 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0140, Train Acc: 1.0000, Test Loss: 0.0400, Test Acc: 0.9800, Epoch time: 24.085236 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0128, Train Acc: 1.0000, Test Loss: 0.0388, Test Acc: 0.9800, Epoch time: 23.978470 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0118, Train Acc: 1.0000, Test Loss: 0.0377, Test Acc: 0.9800, Epoch time: 23.356348 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0109, Train Acc: 1.0000, Test Loss: 0.0368, Test Acc: 0.9800, Epoch time: 23.769389 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.0101, Train Acc: 1.0000, Test Loss: 0.0359, Test Acc: 0.9800, Epoch time: 23.522088 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.0094, Train Acc: 1.0000, Test Loss: 0.0351, Test Acc: 0.9800, Epoch time: 23.949983 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.0088, Train Acc: 1.0000, Test Loss: 0.0345, Test Acc: 0.9800, Epoch time: 24.129767 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.0083, Train Acc: 1.0000, Test Loss: 0.0338, Test Acc: 0.9800, Epoch time: 24.552284 seconds
Train Size: 80, Epoch: 37/100, Train Loss: 0.0078, Train Acc: 1.0000, Test Loss: 0.0332, Test Acc: 0.9900, Epoch time: 25.103093 seconds
Train Size: 80, Epoch: 38/100, Train Loss: 0.0073, Train Acc: 1.0000, Test Loss: 0.0327, Test Acc: 0.9900, Epoch time: 24.260576 seconds
Train Size: 80, Epoch: 39/100, Train Loss: 0.0069, Train Acc: 1.0000, Test Loss: 0.0322, Test Acc: 0.9900, Epoch time: 24.309994 seconds
Train Size: 80, Epoch: 40/100, Train Loss: 0.0066, Train Acc: 1.0000, Test Loss: 0.0317, Test Acc: 0.9900, Epoch time: 24.454947 seconds
Train Size: 80, Epoch: 41/100, Train Loss: 0.0063, Train Acc: 1.0000, Test Loss: 0.0312, Test Acc: 0.9900, Epoch time: 24.376369 seconds
Train Size: 80, Epoch: 42/100, Train Loss: 0.0060, Train Acc: 1.0000, Test Loss: 0.0307, Test Acc: 0.9900, Epoch time: 23.232312 seconds
Train Size: 80, Epoch: 43/100, Train Loss: 0.0057, Train Acc: 1.0000, Test Loss: 0.0303, Test Acc: 0.9900, Epoch time: 24.746400 seconds
Train Size: 80, Epoch: 44/100, Train Loss: 0.0055, Train Acc: 1.0000, Test Loss: 0.0298, Test Acc: 0.9900, Epoch time: 23.625743 seconds
Train Size: 80, Epoch: 45/100, Train Loss: 0.0053, Train Acc: 1.0000, Test Loss: 0.0294, Test Acc: 0.9900, Epoch time: 24.248806 seconds
Train Size: 80, Epoch: 46/100, Train Loss: 0.0051, Train Acc: 1.0000, Test Loss: 0.0290, Test Acc: 0.9900, Epoch time: 23.655190 seconds
Train Size: 80, Epoch: 47/100, Train Loss: 0.0049, Train Acc: 1.0000, Test Loss: 0.0285, Test Acc: 0.9900, Epoch time: 24.583822 seconds
Train Size: 80, Epoch: 48/100, Train Loss: 0.0047, Train Acc: 1.0000, Test Loss: 0.0281, Test Acc: 0.9900, Epoch time: 23.332089 seconds
