
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7584, Train Acc: 0.4750, Test Loss: 0.7123, Test Acc: 0.4800, Epoch time: 22.236165 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.7155, Train Acc: 0.4500, Test Loss: 0.6694, Test Acc: 0.5000, Epoch time: 23.325474 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6724, Train Acc: 0.4625, Test Loss: 0.6337, Test Acc: 0.7100, Epoch time: 23.317872 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6345, Train Acc: 0.7750, Test Loss: 0.5988, Test Acc: 0.9200, Epoch time: 23.859953 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6070, Train Acc: 0.9250, Test Loss: 0.5778, Test Acc: 0.9300, Epoch time: 23.951502 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.5732, Train Acc: 0.9375, Test Loss: 0.5449, Test Acc: 0.9200, Epoch time: 25.722590 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.5433, Train Acc: 0.9250, Test Loss: 0.5216, Test Acc: 0.9300, Epoch time: 23.896624 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.5146, Train Acc: 0.9250, Test Loss: 0.4997, Test Acc: 0.9300, Epoch time: 24.554423 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.4895, Train Acc: 0.9375, Test Loss: 0.4824, Test Acc: 0.9500, Epoch time: 25.449642 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.4701, Train Acc: 0.9375, Test Loss: 0.4604, Test Acc: 0.9500, Epoch time: 23.937177 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.4547, Train Acc: 0.9250, Test Loss: 0.4414, Test Acc: 0.9500, Epoch time: 23.927550 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.4292, Train Acc: 0.9500, Test Loss: 0.4134, Test Acc: 0.9600, Epoch time: 23.965751 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.4016, Train Acc: 0.9625, Test Loss: 0.4007, Test Acc: 0.9600, Epoch time: 24.331626 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.3941, Train Acc: 0.9500, Test Loss: 0.3793, Test Acc: 0.9900, Epoch time: 24.389009 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.3683, Train Acc: 0.9500, Test Loss: 0.3604, Test Acc: 0.9900, Epoch time: 24.251075 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.3553, Train Acc: 0.9500, Test Loss: 0.3469, Test Acc: 0.9900, Epoch time: 24.256461 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.3362, Train Acc: 0.9500, Test Loss: 0.3305, Test Acc: 0.9900, Epoch time: 24.245861 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.3175, Train Acc: 0.9625, Test Loss: 0.3155, Test Acc: 1.0000, Epoch time: 24.165001 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.3073, Train Acc: 0.9750, Test Loss: 0.3035, Test Acc: 1.0000, Epoch time: 24.428996 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.2911, Train Acc: 0.9875, Test Loss: 0.2931, Test Acc: 1.0000, Epoch time: 24.246957 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.2784, Train Acc: 1.0000, Test Loss: 0.2811, Test Acc: 1.0000, Epoch time: 24.795230 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.2651, Train Acc: 1.0000, Test Loss: 0.2688, Test Acc: 1.0000, Epoch time: 24.583576 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.2551, Train Acc: 1.0000, Test Loss: 0.2591, Test Acc: 1.0000, Epoch time: 24.329221 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.2445, Train Acc: 1.0000, Test Loss: 0.2491, Test Acc: 1.0000, Epoch time: 24.375275 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.2350, Train Acc: 1.0000, Test Loss: 0.2395, Test Acc: 1.0000, Epoch time: 27.131866 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.2257, Train Acc: 1.0000, Test Loss: 0.2307, Test Acc: 1.0000, Epoch time: 26.300274 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.2169, Train Acc: 1.0000, Test Loss: 0.2223, Test Acc: 1.0000, Epoch time: 25.360003 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.2082, Train Acc: 1.0000, Test Loss: 0.2143, Test Acc: 1.0000, Epoch time: 24.399157 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.2005, Train Acc: 1.0000, Test Loss: 0.2070, Test Acc: 1.0000, Epoch time: 25.376338 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.1929, Train Acc: 1.0000, Test Loss: 0.2000, Test Acc: 1.0000, Epoch time: 26.028572 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.1862, Train Acc: 1.0000, Test Loss: 0.1938, Test Acc: 1.0000, Epoch time: 27.121119 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.1795, Train Acc: 1.0000, Test Loss: 0.1869, Test Acc: 1.0000, Epoch time: 26.922079 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.1734, Train Acc: 1.0000, Test Loss: 0.1801, Test Acc: 1.0000, Epoch time: 28.232132 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.1668, Train Acc: 1.0000, Test Loss: 0.1756, Test Acc: 1.0000, Epoch time: 27.230603 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.1618, Train Acc: 1.0000, Test Loss: 0.1690, Test Acc: 1.0000, Epoch time: 25.198633 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.1566, Train Acc: 1.0000, Test Loss: 0.1647, Test Acc: 1.0000, Epoch time: 27.018805 seconds
Train Size: 80, Epoch: 37/100, Train Loss: 0.1512, Train Acc: 1.0000, Test Loss: 0.1599, Test Acc: 1.0000, Epoch time: 28.720428 seconds
Train Size: 80, Epoch: 38/100, Train Loss: 0.1470, Train Acc: 1.0000, Test Loss: 0.1545, Test Acc: 1.0000, Epoch time: 25.198742 seconds
Train Size: 80, Epoch: 39/100, Train Loss: 0.1412, Train Acc: 1.0000, Test Loss: 0.1507, Test Acc: 1.0000, Epoch time: 27.806781 seconds
Train Size: 80, Epoch: 40/100, Train Loss: 0.1397, Train Acc: 1.0000, Test Loss: 0.1474, Test Acc: 1.0000, Epoch time: 26.914484 seconds
Train Size: 80, Epoch: 41/100, Train Loss: 0.1342, Train Acc: 1.0000, Test Loss: 0.1427, Test Acc: 1.0000, Epoch time: 25.421864 seconds
Train Size: 80, Epoch: 42/100, Train Loss: 0.1307, Train Acc: 1.0000, Test Loss: 0.1395, Test Acc: 1.0000, Epoch time: 27.674361 seconds
Train Size: 80, Epoch: 43/100, Train Loss: 0.1273, Train Acc: 1.0000, Test Loss: 0.1370, Test Acc: 1.0000, Epoch time: 27.711461 seconds
Train Size: 80, Epoch: 44/100, Train Loss: 0.1233, Train Acc: 1.0000, Test Loss: 0.1323, Test Acc: 1.0000, Epoch time: 27.467227 seconds
Train Size: 80, Epoch: 45/100, Train Loss: 0.1198, Train Acc: 1.0000, Test Loss: 0.1301, Test Acc: 1.0000, Epoch time: 24.644204 seconds
Train Size: 80, Epoch: 46/100, Train Loss: 0.1191, Train Acc: 1.0000, Test Loss: 0.1264, Test Acc: 1.0000, Epoch time: 26.244623 seconds
