Epoch 1/100 | Train Loss: 2.3079 | Train Acc: 0.2936 | Test Loss: 1.5913 | Test Acc: 0.4332 | Time: 466.86 seconds
Epoch 2/100 | Train Loss: 1.9769 | Train Acc: 0.4251 | Test Loss: 1.3886 | Test Acc: 0.5088 | Time: 455.75 seconds
Epoch 3/100 | Train Loss: 1.8371 | Train Acc: 0.4734 | Test Loss: 1.4083 | Test Acc: 0.5015 | Time: 450.69 seconds
Epoch 4/100 | Train Loss: 1.7394 | Train Acc: 0.5125 | Test Loss: 1.3299 | Test Acc: 0.5485 | Time: 449.09 seconds
Epoch 5/100 | Train Loss: 1.6663 | Train Acc: 0.5367 | Test Loss: 1.1764 | Test Acc: 0.5927 | Time: 454.88 seconds
Epoch 6/100 | Train Loss: 1.5795 | Train Acc: 0.5704 | Test Loss: 1.1642 | Test Acc: 0.5993 | Time: 458.21 seconds
Epoch 7/100 | Train Loss: 1.5079 | Train Acc: 0.5950 | Test Loss: 1.0396 | Test Acc: 0.6443 | Time: 457.26 seconds
Epoch 8/100 | Train Loss: 1.4577 | Train Acc: 0.6117 | Test Loss: 1.0451 | Test Acc: 0.6449 | Time: 457.33 seconds
Epoch 9/100 | Train Loss: 1.4161 | Train Acc: 0.6256 | Test Loss: 0.9938 | Test Acc: 0.6617 | Time: 450.97 seconds
Epoch 10/100 | Train Loss: 1.3912 | Train Acc: 0.6346 | Test Loss: 0.9619 | Test Acc: 0.6787 | Time: 454.95 seconds
Epoch 11/100 | Train Loss: 1.3612 | Train Acc: 0.6409 | Test Loss: 0.9388 | Test Acc: 0.6856 | Time: 463.23 seconds
Epoch 12/100 | Train Loss: 1.3405 | Train Acc: 0.6509 | Test Loss: 0.9306 | Test Acc: 0.6880 | Time: 471.98 seconds
Epoch 13/100 | Train Loss: 1.3147 | Train Acc: 0.6600 | Test Loss: 0.9255 | Test Acc: 0.6867 | Time: 476.14 seconds
Epoch 14/100 | Train Loss: 1.2965 | Train Acc: 0.6640 | Test Loss: 0.9136 | Test Acc: 0.6916 | Time: 467.25 seconds
Epoch 15/100 | Train Loss: 1.2748 | Train Acc: 0.6697 | Test Loss: 0.8864 | Test Acc: 0.7004 | Time: 450.18 seconds
Epoch 16/100 | Train Loss: 1.2642 | Train Acc: 0.6736 | Test Loss: 0.9264 | Test Acc: 0.6897 | Time: 445.55 seconds
Epoch 17/100 | Train Loss: 1.2473 | Train Acc: 0.6778 | Test Loss: 0.8860 | Test Acc: 0.7010 | Time: 449.02 seconds
Epoch 18/100 | Train Loss: 1.2284 | Train Acc: 0.6854 | Test Loss: 0.8410 | Test Acc: 0.7188 | Time: 448.83 seconds
Epoch 19/100 | Train Loss: 1.2168 | Train Acc: 0.6884 | Test Loss: 0.8402 | Test Acc: 0.7221 | Time: 452.86 seconds
Epoch 20/100 | Train Loss: 1.2093 | Train Acc: 0.6916 | Test Loss: 0.8601 | Test Acc: 0.7116 | Time: 471.59 seconds
Epoch 21/100 | Train Loss: 1.1919 | Train Acc: 0.6953 | Test Loss: 0.8440 | Test Acc: 0.7205 | Time: 457.54 seconds
Epoch 22/100 | Train Loss: 1.1817 | Train Acc: 0.6999 | Test Loss: 0.8496 | Test Acc: 0.7163 | Time: 453.13 seconds
Epoch 23/100 | Train Loss: 1.1754 | Train Acc: 0.7027 | Test Loss: 0.8226 | Test Acc: 0.7261 | Time: 449.40 seconds
Epoch 24/100 | Train Loss: 1.1641 | Train Acc: 0.7063 | Test Loss: 0.8171 | Test Acc: 0.7258 | Time: 447.02 seconds
Epoch 25/100 | Train Loss: 1.1572 | Train Acc: 0.7089 | Test Loss: 0.8096 | Test Acc: 0.7291 | Time: 444.44 seconds
Epoch 26/100 | Train Loss: 1.1431 | Train Acc: 0.7146 | Test Loss: 0.8094 | Test Acc: 0.7294 | Time: 448.02 seconds
Epoch 27/100 | Train Loss: 1.1340 | Train Acc: 0.7165 | Test Loss: 0.7877 | Test Acc: 0.7377 | Time: 451.46 seconds
Epoch 28/100 | Train Loss: 1.1255 | Train Acc: 0.7183 | Test Loss: 0.8191 | Test Acc: 0.7273 | Time: 453.61 seconds
Epoch 29/100 | Train Loss: 1.1144 | Train Acc: 0.7230 | Test Loss: 0.7935 | Test Acc: 0.7336 | Time: 449.66 seconds
Epoch 30/100 | Train Loss: 1.1057 | Train Acc: 0.7268 | Test Loss: 0.7970 | Test Acc: 0.7339 | Time: 456.86 seconds
Epoch 31/100 | Train Loss: 1.0983 | Train Acc: 0.7266 | Test Loss: 0.7626 | Test Acc: 0.7473 | Time: 471.87 seconds
Epoch 32/100 | Train Loss: 1.0925 | Train Acc: 0.7287 | Test Loss: 0.7746 | Test Acc: 0.7412 | Time: 456.12 seconds
Epoch 33/100 | Train Loss: 1.0840 | Train Acc: 0.7307 | Test Loss: 0.7690 | Test Acc: 0.7498 | Time: 452.80 seconds
Epoch 34/100 | Train Loss: 1.0752 | Train Acc: 0.7351 | Test Loss: 0.7654 | Test Acc: 0.7442 | Time: 454.84 seconds
Epoch 35/100 | Train Loss: 1.0732 | Train Acc: 0.7348 | Test Loss: 0.7692 | Test Acc: 0.7488 | Time: 459.18 seconds
Epoch 36/100 | Train Loss: 1.0611 | Train Acc: 0.7403 | Test Loss: 0.7615 | Test Acc: 0.7513 | Time: 475.04 seconds
Epoch 37/100 | Train Loss: 1.0561 | Train Acc: 0.7413 | Test Loss: 0.7367 | Test Acc: 0.7586 | Time: 466.45 seconds
Epoch 38/100 | Train Loss: 1.0444 | Train Acc: 0.7441 | Test Loss: 0.7740 | Test Acc: 0.7432 | Time: 459.35 seconds
Epoch 39/100 | Train Loss: 1.0403 | Train Acc: 0.7442 | Test Loss: 0.7580 | Test Acc: 0.7472 | Time: 457.04 seconds
Epoch 40/100 | Train Loss: 1.0344 | Train Acc: 0.7482 | Test Loss: 0.7247 | Test Acc: 0.7611 | Time: 480.79 seconds
Epoch 41/100 | Train Loss: 1.0238 | Train Acc: 0.7506 | Test Loss: 0.7391 | Test Acc: 0.7579 | Time: 477.97 seconds
Epoch 42/100 | Train Loss: 1.0202 | Train Acc: 0.7506 | Test Loss: 0.7315 | Test Acc: 0.7603 | Time: 472.66 seconds
Epoch 43/100 | Train Loss: 1.0154 | Train Acc: 0.7519 | Test Loss: 0.7220 | Test Acc: 0.7626 | Time: 470.30 seconds
Epoch 44/100 | Train Loss: 1.0100 | Train Acc: 0.7549 | Test Loss: 0.7207 | Test Acc: 0.7631 | Time: 465.96 seconds
Epoch 45/100 | Train Loss: 1.0041 | Train Acc: 0.7566 | Test Loss: 0.7250 | Test Acc: 0.7639 | Time: 469.53 seconds
Epoch 46/100 | Train Loss: 0.9967 | Train Acc: 0.7585 | Test Loss: 0.7207 | Test Acc: 0.7642 | Time: 469.30 seconds
