step,train_cost,train_acc,test_cost,test_acc,n_train
1,1.8718,0.3773,1.1418,0.65,1000
2,1.2384,0.5865,0.947,0.675,1000
3,1.0868,0.651,0.9788,0.655,1000
4,1.0463,0.6562,0.7593,0.735,1000
5,0.9152,0.69,0.7191,0.75,1000
6,0.8852,0.6988,0.7291,0.75,1000
7,0.8084,0.7256,0.6914,0.75,1000
8,0.6993,0.7668,0.6481,0.785,1000
9,0.6875,0.7719,0.5971,0.805,1000
10,0.6604,0.7881,0.56,0.79,1000
11,0.6287,0.7881,0.4858,0.85,1000
12,0.5879,0.7969,0.4315,0.885,1000
13,0.5639,0.7986,0.5532,0.81,1000
14,0.5709,0.8018,0.5165,0.835,1000
15,0.5289,0.8139,0.4705,0.85,1000
16,0.5311,0.8189,0.4149,0.86,1000
17,0.5089,0.8176,0.3635,0.885,1000
18,0.5072,0.8164,0.3763,0.895,1000
19,0.4375,0.842,0.3956,0.85,1000
20,0.4811,0.8359,0.4804,0.835,1000
21,0.4847,0.8359,0.3888,0.88,1000
22,0.4446,0.8598,0.3958,0.86,1000
23,0.4314,0.8373,0.4286,0.83,1000
24,0.419,0.8518,0.3958,0.83,1000
25,0.3808,0.8641,0.4412,0.83,1000
26,0.3867,0.8631,0.4724,0.835,1000
27,0.3488,0.8668,0.348,0.855,1000
28,0.3741,0.8672,0.3115,0.885,1000
29,0.3735,0.8672,0.3978,0.865,1000
30,0.3902,0.8748,0.3084,0.89,1000
31,0.3565,0.8803,0.3023,0.89,1000
32,0.349,0.8816,0.3707,0.855,1000
33,0.371,0.8723,0.3082,0.905,1000
34,0.3664,0.8734,0.3505,0.865,1000
35,0.3642,0.8742,0.3118,0.895,1000
36,0.3437,0.8809,0.318,0.885,1000
37,0.318,0.8852,0.3448,0.88,1000
38,0.3271,0.8883,0.3718,0.87,1000
39,0.3003,0.8979,0.3454,0.86,1000
40,0.305,0.8898,0.3952,0.845,1000
41,0.321,0.8928,0.2968,0.89,1000
42,0.3069,0.9002,0.3032,0.89,1000
43,0.3153,0.8908,0.3658,0.88,1000
44,0.3009,0.8871,0.3059,0.89,1000
45,0.2745,0.9182,0.2915,0.885,1000
46,0.2796,0.9113,0.3151,0.885,1000
47,0.2932,0.9041,0.2911,0.885,1000
48,0.2831,0.9016,0.2926,0.865,1000
49,0.2696,0.9072,0.3021,0.885,1000
50,0.2735,0.9006,0.3215,0.86,1000
51,0.2782,0.9004,0.2741,0.895,1000
52,0.2685,0.9049,0.2601,0.9,1000
53,0.2853,0.8998,0.2587,0.89,1000
54,0.2532,0.909,0.242,0.915,1000
55,0.2797,0.9031,0.2351,0.91,1000
56,0.2553,0.91,0.2881,0.895,1000
57,0.2187,0.9193,0.2675,0.885,1000
58,0.2692,0.9096,0.269,0.895,1000
59,0.2343,0.9131,0.2583,0.895,1000
60,0.2507,0.9178,0.2459,0.9,1000
61,0.2192,0.9305,0.2362,0.895,1000
62,0.2282,0.9182,0.2737,0.89,1000
63,0.2354,0.9205,0.2768,0.88,1000
64,0.2611,0.9033,0.2559,0.9,1000
