
=== Starting training for train size 10 ===

Starting repetition 1/1 for train size 10
[1. 0. 1. 1. 1. 0. 0. 0. 1. 0.]
Train Size: 10, Epoch: 1/100, Train Loss: 0.9082, Train Acc: 0.2000, Test Loss: 0.7300, Test Acc: 0.3900, Epoch time: 5.489154 seconds
Train Size: 10, Epoch: 2/100, Train Loss: 0.7540, Train Acc: 0.3000, Test Loss: 0.6351, Test Acc: 0.6400, Epoch time: 5.545321 seconds
Train Size: 10, Epoch: 3/100, Train Loss: 0.6323, Train Acc: 0.7000, Test Loss: 0.5510, Test Acc: 0.7100, Epoch time: 5.642088 seconds
Train Size: 10, Epoch: 4/100, Train Loss: 0.5310, Train Acc: 0.7000, Test Loss: 0.4734, Test Acc: 0.8400, Epoch time: 5.715282 seconds
Train Size: 10, Epoch: 5/100, Train Loss: 0.4431, Train Acc: 1.0000, Test Loss: 0.4029, Test Acc: 0.9500, Epoch time: 5.673619 seconds
Train Size: 10, Epoch: 6/100, Train Loss: 0.3669, Train Acc: 1.0000, Test Loss: 0.3408, Test Acc: 0.9700, Epoch time: 5.950603 seconds
Train Size: 10, Epoch: 7/100, Train Loss: 0.3024, Train Acc: 1.0000, Test Loss: 0.2882, Test Acc: 1.0000, Epoch time: 5.733630 seconds
Train Size: 10, Epoch: 8/100, Train Loss: 0.2492, Train Acc: 1.0000, Test Loss: 0.2448, Test Acc: 1.0000, Epoch time: 5.720430 seconds
Train Size: 10, Epoch: 9/100, Train Loss: 0.2062, Train Acc: 1.0000, Test Loss: 0.2094, Test Acc: 1.0000, Epoch time: 5.690504 seconds
Train Size: 10, Epoch: 10/100, Train Loss: 0.1714, Train Acc: 1.0000, Test Loss: 0.1804, Test Acc: 1.0000, Epoch time: 5.739703 seconds
Train Size: 10, Epoch: 11/100, Train Loss: 0.1432, Train Acc: 1.0000, Test Loss: 0.1568, Test Acc: 1.0000, Epoch time: 5.726489 seconds
Train Size: 10, Epoch: 12/100, Train Loss: 0.1200, Train Acc: 1.0000, Test Loss: 0.1372, Test Acc: 1.0000, Epoch time: 5.806338 seconds
Train Size: 10, Epoch: 13/100, Train Loss: 0.1007, Train Acc: 1.0000, Test Loss: 0.1211, Test Acc: 1.0000, Epoch time: 5.751257 seconds
Train Size: 10, Epoch: 14/100, Train Loss: 0.0848, Train Acc: 1.0000, Test Loss: 0.1078, Test Acc: 1.0000, Epoch time: 5.766673 seconds
Train Size: 10, Epoch: 15/100, Train Loss: 0.0716, Train Acc: 1.0000, Test Loss: 0.0968, Test Acc: 1.0000, Epoch time: 6.044978 seconds
Train Size: 10, Epoch: 16/100, Train Loss: 0.0608, Train Acc: 1.0000, Test Loss: 0.0877, Test Acc: 1.0000, Epoch time: 5.678301 seconds
Train Size: 10, Epoch: 17/100, Train Loss: 0.0519, Train Acc: 1.0000, Test Loss: 0.0801, Test Acc: 1.0000, Epoch time: 5.757374 seconds
Train Size: 10, Epoch: 18/100, Train Loss: 0.0446, Train Acc: 1.0000, Test Loss: 0.0738, Test Acc: 1.0000, Epoch time: 5.739361 seconds
Train Size: 10, Epoch: 19/100, Train Loss: 0.0386, Train Acc: 1.0000, Test Loss: 0.0684, Test Acc: 1.0000, Epoch time: 5.727296 seconds
Train Size: 10, Epoch: 20/100, Train Loss: 0.0336, Train Acc: 1.0000, Test Loss: 0.0638, Test Acc: 1.0000, Epoch time: 5.817751 seconds
Train Size: 10, Epoch: 21/100, Train Loss: 0.0295, Train Acc: 1.0000, Test Loss: 0.0597, Test Acc: 1.0000, Epoch time: 5.891244 seconds
Train Size: 10, Epoch: 22/100, Train Loss: 0.0261, Train Acc: 1.0000, Test Loss: 0.0561, Test Acc: 1.0000, Epoch time: 5.942353 seconds
Train Size: 10, Epoch: 23/100, Train Loss: 0.0232, Train Acc: 1.0000, Test Loss: 0.0529, Test Acc: 1.0000, Epoch time: 6.205230 seconds
Train Size: 10, Epoch: 24/100, Train Loss: 0.0207, Train Acc: 1.0000, Test Loss: 0.0501, Test Acc: 1.0000, Epoch time: 5.936300 seconds
Train Size: 10, Epoch: 25/100, Train Loss: 0.0186, Train Acc: 1.0000, Test Loss: 0.0474, Test Acc: 1.0000, Epoch time: 5.941327 seconds
Train Size: 10, Epoch: 26/100, Train Loss: 0.0167, Train Acc: 1.0000, Test Loss: 0.0451, Test Acc: 1.0000, Epoch time: 6.218908 seconds
Train Size: 10, Epoch: 27/100, Train Loss: 0.0151, Train Acc: 1.0000, Test Loss: 0.0429, Test Acc: 1.0000, Epoch time: 5.978596 seconds
Train Size: 10, Epoch: 28/100, Train Loss: 0.0138, Train Acc: 1.0000, Test Loss: 0.0409, Test Acc: 1.0000, Epoch time: 5.938931 seconds
Train Size: 10, Epoch: 29/100, Train Loss: 0.0126, Train Acc: 1.0000, Test Loss: 0.0391, Test Acc: 1.0000, Epoch time: 5.963943 seconds
Train Size: 10, Epoch: 30/100, Train Loss: 0.0116, Train Acc: 1.0000, Test Loss: 0.0374, Test Acc: 1.0000, Epoch time: 6.251197 seconds
Train Size: 10, Epoch: 31/100, Train Loss: 0.0106, Train Acc: 1.0000, Test Loss: 0.0359, Test Acc: 1.0000, Epoch time: 5.637165 seconds
Train Size: 10, Epoch: 32/100, Train Loss: 0.0099, Train Acc: 1.0000, Test Loss: 0.0345, Test Acc: 1.0000, Epoch time: 4.976573 seconds
Train Size: 10, Epoch: 33/100, Train Loss: 0.0092, Train Acc: 1.0000, Test Loss: 0.0333, Test Acc: 1.0000, Epoch time: 4.916221 seconds
Train Size: 10, Epoch: 34/100, Train Loss: 0.0085, Train Acc: 1.0000, Test Loss: 0.0321, Test Acc: 1.0000, Epoch time: 5.004292 seconds
Train Size: 10, Epoch: 35/100, Train Loss: 0.0080, Train Acc: 1.0000, Test Loss: 0.0311, Test Acc: 1.0000, Epoch time: 5.597659 seconds
Train Size: 10, Epoch: 36/100, Train Loss: 0.0075, Train Acc: 1.0000, Test Loss: 0.0302, Test Acc: 1.0000, Epoch time: 5.540616 seconds
Train Size: 10, Epoch: 37/100, Train Loss: 0.0071, Train Acc: 1.0000, Test Loss: 0.0293, Test Acc: 1.0000, Epoch time: 5.579392 seconds
Train Size: 10, Epoch: 38/100, Train Loss: 0.0067, Train Acc: 1.0000, Test Loss: 0.0285, Test Acc: 1.0000, Epoch time: 6.162274 seconds
Train Size: 10, Epoch: 39/100, Train Loss: 0.0064, Train Acc: 1.0000, Test Loss: 0.0279, Test Acc: 1.0000, Epoch time: 5.879143 seconds
Train Size: 10, Epoch: 40/100, Train Loss: 0.0061, Train Acc: 1.0000, Test Loss: 0.0272, Test Acc: 1.0000, Epoch time: 5.830686 seconds
Train Size: 10, Epoch: 41/100, Train Loss: 0.0058, Train Acc: 1.0000, Test Loss: 0.0266, Test Acc: 1.0000, Epoch time: 5.665869 seconds
Train Size: 10, Epoch: 42/100, Train Loss: 0.0055, Train Acc: 1.0000, Test Loss: 0.0261, Test Acc: 1.0000, Epoch time: 4.948734 seconds
Train Size: 10, Epoch: 43/100, Train Loss: 0.0053, Train Acc: 1.0000, Test Loss: 0.0257, Test Acc: 1.0000, Epoch time: 4.904017 seconds
Train Size: 10, Epoch: 44/100, Train Loss: 0.0051, Train Acc: 1.0000, Test Loss: 0.0252, Test Acc: 1.0000, Epoch time: 5.168305 seconds
Train Size: 10, Epoch: 45/100, Train Loss: 0.0049, Train Acc: 1.0000, Test Loss: 0.0249, Test Acc: 1.0000, Epoch time: 5.443909 seconds
Train Size: 10, Epoch: 46/100, Train Loss: 0.0047, Train Acc: 1.0000, Test Loss: 0.0245, Test Acc: 1.0000, Epoch time: 5.194756 seconds
Train Size: 10, Epoch: 47/100, Train Loss: 0.0046, Train Acc: 1.0000, Test Loss: 0.0242, Test Acc: 1.0000, Epoch time: 5.817902 seconds
Train Size: 10, Epoch: 48/100, Train Loss: 0.0044, Train Acc: 1.0000, Test Loss: 0.0239, Test Acc: 1.0000, Epoch time: 5.159932 seconds
Train Size: 10, Epoch: 49/100, Train Loss: 0.0043, Train Acc: 1.0000, Test Loss: 0.0237, Test Acc: 1.0000, Epoch time: 5.477912 seconds
Train Size: 10, Epoch: 50/100, Train Loss: 0.0041, Train Acc: 1.0000, Test Loss: 0.0234, Test Acc: 1.0000, Epoch time: 5.469710 seconds
Train Size: 10, Epoch: 51/100, Train Loss: 0.0040, Train Acc: 1.0000, Test Loss: 0.0232, Test Acc: 1.0000, Epoch time: 5.376188 seconds
Train Size: 10, Epoch: 52/100, Train Loss: 0.0039, Train Acc: 1.0000, Test Loss: 0.0230, Test Acc: 1.0000, Epoch time: 5.066446 seconds
Train Size: 10, Epoch: 53/100, Train Loss: 0.0038, Train Acc: 1.0000, Test Loss: 0.0228, Test Acc: 1.0000, Epoch time: 5.830058 seconds
Train Size: 10, Epoch: 54/100, Train Loss: 0.0037, Train Acc: 1.0000, Test Loss: 0.0227, Test Acc: 1.0000, Epoch time: 4.849163 seconds
Train Size: 10, Epoch: 55/100, Train Loss: 0.0036, Train Acc: 1.0000, Test Loss: 0.0225, Test Acc: 1.0000, Epoch time: 4.857045 seconds
Train Size: 10, Epoch: 56/100, Train Loss: 0.0035, Train Acc: 1.0000, Test Loss: 0.0224, Test Acc: 1.0000, Epoch time: 4.849091 seconds
Train Size: 10, Epoch: 57/100, Train Loss: 0.0034, Train Acc: 1.0000, Test Loss: 0.0222, Test Acc: 1.0000, Epoch time: 4.822500 seconds
Train Size: 10, Epoch: 58/100, Train Loss: 0.0034, Train Acc: 1.0000, Test Loss: 0.0221, Test Acc: 1.0000, Epoch time: 4.790549 seconds
Train Size: 10, Epoch: 59/100, Train Loss: 0.0033, Train Acc: 1.0000, Test Loss: 0.0220, Test Acc: 1.0000, Epoch time: 4.828670 seconds
Train Size: 10, Epoch: 60/100, Train Loss: 0.0032, Train Acc: 1.0000, Test Loss: 0.0219, Test Acc: 1.0000, Epoch time: 5.078380 seconds
Train Size: 10, Epoch: 61/100, Train Loss: 0.0032, Train Acc: 1.0000, Test Loss: 0.0218, Test Acc: 1.0000, Epoch time: 5.252061 seconds
Train Size: 10, Epoch: 62/100, Train Loss: 0.0031, Train Acc: 1.0000, Test Loss: 0.0217, Test Acc: 1.0000, Epoch time: 5.186957 seconds
Train Size: 10, Epoch: 63/100, Train Loss: 0.0030, Train Acc: 1.0000, Test Loss: 0.0216, Test Acc: 1.0000, Epoch time: 4.945084 seconds
Train Size: 10, Epoch: 64/100, Train Loss: 0.0030, Train Acc: 1.0000, Test Loss: 0.0215, Test Acc: 1.0000, Epoch time: 4.843220 seconds
Train Size: 10, Epoch: 65/100, Train Loss: 0.0029, Train Acc: 1.0000, Test Loss: 0.0214, Test Acc: 1.0000, Epoch time: 4.831827 seconds
