
=== Starting training for train size 2 ===

Starting repetition 1/1 for train size 2
[0. 0.]
Train Size: 2, Epoch: 1/100, Train Loss: 0.4429, Train Acc: 1.0000, Test Loss: 0.5529, Test Acc: 0.7400, Epoch time: 4.316232 seconds
Train Size: 2, Epoch: 2/100, Train Loss: 0.2743, Train Acc: 1.0000, Test Loss: 0.5405, Test Acc: 0.6600, Epoch time: 4.165287 seconds
Train Size: 2, Epoch: 3/100, Train Loss: 0.1653, Train Acc: 1.0000, Test Loss: 0.5514, Test Acc: 0.5800, Epoch time: 4.453528 seconds
Train Size: 2, Epoch: 4/100, Train Loss: 0.0990, Train Acc: 1.0000, Test Loss: 0.5777, Test Acc: 0.5400, Epoch time: 4.114772 seconds
Train Size: 2, Epoch: 5/100, Train Loss: 0.0600, Train Acc: 1.0000, Test Loss: 0.6128, Test Acc: 0.4900, Epoch time: 4.013176 seconds
Train Size: 2, Epoch: 6/100, Train Loss: 0.0372, Train Acc: 1.0000, Test Loss: 0.6525, Test Acc: 0.4800, Epoch time: 3.998475 seconds
Train Size: 2, Epoch: 7/100, Train Loss: 0.0237, Train Acc: 1.0000, Test Loss: 0.6941, Test Acc: 0.4700, Epoch time: 3.997800 seconds
Train Size: 2, Epoch: 8/100, Train Loss: 0.0156, Train Acc: 1.0000, Test Loss: 0.7359, Test Acc: 0.4600, Epoch time: 4.020638 seconds
Train Size: 2, Epoch: 9/100, Train Loss: 0.0106, Train Acc: 1.0000, Test Loss: 0.7770, Test Acc: 0.4600, Epoch time: 4.006738 seconds
Train Size: 2, Epoch: 10/100, Train Loss: 0.0074, Train Acc: 1.0000, Test Loss: 0.8167, Test Acc: 0.4600, Epoch time: 4.005326 seconds
Train Size: 2, Epoch: 11/100, Train Loss: 0.0053, Train Acc: 1.0000, Test Loss: 0.8547, Test Acc: 0.4600, Epoch time: 4.014746 seconds
Train Size: 2, Epoch: 12/100, Train Loss: 0.0039, Train Acc: 1.0000, Test Loss: 0.8909, Test Acc: 0.4600, Epoch time: 4.003613 seconds
Train Size: 2, Epoch: 13/100, Train Loss: 0.0030, Train Acc: 1.0000, Test Loss: 0.9251, Test Acc: 0.4600, Epoch time: 4.013210 seconds
