
=== Starting training for train size 20 ===

Starting repetition 1/1 for train size 20
[1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.]
Train Size: 20, Epoch: 1/100, Train Loss: 0.4017, Train Acc: 0.8500, Test Loss: 0.4372, Test Acc: 0.8700, Epoch time: 6.129763 seconds
Train Size: 20, Epoch: 2/100, Train Loss: 0.3241, Train Acc: 0.9000, Test Loss: 0.4107, Test Acc: 0.8200, Epoch time: 6.289048 seconds
Train Size: 20, Epoch: 3/100, Train Loss: 0.2787, Train Acc: 0.9000, Test Loss: 0.3768, Test Acc: 0.8200, Epoch time: 6.425091 seconds
Train Size: 20, Epoch: 4/100, Train Loss: 0.2445, Train Acc: 0.9000, Test Loss: 0.3340, Test Acc: 0.9100, Epoch time: 6.573575 seconds
Train Size: 20, Epoch: 5/100, Train Loss: 0.2128, Train Acc: 0.9000, Test Loss: 0.2876, Test Acc: 0.9400, Epoch time: 6.952356 seconds
Train Size: 20, Epoch: 6/100, Train Loss: 0.1825, Train Acc: 0.9000, Test Loss: 0.2426, Test Acc: 0.9500, Epoch time: 8.592880 seconds
Train Size: 20, Epoch: 7/100, Train Loss: 0.1546, Train Acc: 1.0000, Test Loss: 0.2024, Test Acc: 0.9800, Epoch time: 8.213149 seconds
Train Size: 20, Epoch: 8/100, Train Loss: 0.1302, Train Acc: 1.0000, Test Loss: 0.1687, Test Acc: 0.9800, Epoch time: 9.113936 seconds
Train Size: 20, Epoch: 9/100, Train Loss: 0.1100, Train Acc: 1.0000, Test Loss: 0.1417, Test Acc: 0.9900, Epoch time: 7.036332 seconds
Train Size: 20, Epoch: 10/100, Train Loss: 0.0937, Train Acc: 1.0000, Test Loss: 0.1208, Test Acc: 0.9900, Epoch time: 7.339997 seconds
Train Size: 20, Epoch: 11/100, Train Loss: 0.0808, Train Acc: 1.0000, Test Loss: 0.1047, Test Acc: 0.9900, Epoch time: 7.080997 seconds
Train Size: 20, Epoch: 12/100, Train Loss: 0.0706, Train Acc: 1.0000, Test Loss: 0.0921, Test Acc: 1.0000, Epoch time: 6.169775 seconds
Train Size: 20, Epoch: 13/100, Train Loss: 0.0622, Train Acc: 1.0000, Test Loss: 0.0821, Test Acc: 1.0000, Epoch time: 6.227603 seconds
Train Size: 20, Epoch: 14/100, Train Loss: 0.0551, Train Acc: 1.0000, Test Loss: 0.0737, Test Acc: 1.0000, Epoch time: 5.873956 seconds
Train Size: 20, Epoch: 15/100, Train Loss: 0.0489, Train Acc: 1.0000, Test Loss: 0.0665, Test Acc: 1.0000, Epoch time: 5.868704 seconds
Train Size: 20, Epoch: 16/100, Train Loss: 0.0433, Train Acc: 1.0000, Test Loss: 0.0602, Test Acc: 1.0000, Epoch time: 5.862866 seconds
Train Size: 20, Epoch: 17/100, Train Loss: 0.0383, Train Acc: 1.0000, Test Loss: 0.0546, Test Acc: 1.0000, Epoch time: 5.902685 seconds
Train Size: 20, Epoch: 18/100, Train Loss: 0.0339, Train Acc: 1.0000, Test Loss: 0.0497, Test Acc: 1.0000, Epoch time: 6.793812 seconds
Train Size: 20, Epoch: 19/100, Train Loss: 0.0300, Train Acc: 1.0000, Test Loss: 0.0454, Test Acc: 1.0000, Epoch time: 6.832438 seconds
Train Size: 20, Epoch: 20/100, Train Loss: 0.0266, Train Acc: 1.0000, Test Loss: 0.0417, Test Acc: 1.0000, Epoch time: 6.769034 seconds
Train Size: 20, Epoch: 21/100, Train Loss: 0.0237, Train Acc: 1.0000, Test Loss: 0.0384, Test Acc: 1.0000, Epoch time: 6.968120 seconds
Train Size: 20, Epoch: 22/100, Train Loss: 0.0212, Train Acc: 1.0000, Test Loss: 0.0355, Test Acc: 1.0000, Epoch time: 6.340574 seconds
Train Size: 20, Epoch: 23/100, Train Loss: 0.0191, Train Acc: 1.0000, Test Loss: 0.0330, Test Acc: 1.0000, Epoch time: 7.368741 seconds
Train Size: 20, Epoch: 24/100, Train Loss: 0.0174, Train Acc: 1.0000, Test Loss: 0.0308, Test Acc: 1.0000, Epoch time: 7.719035 seconds
Train Size: 20, Epoch: 25/100, Train Loss: 0.0158, Train Acc: 1.0000, Test Loss: 0.0289, Test Acc: 1.0000, Epoch time: 6.961168 seconds
Train Size: 20, Epoch: 26/100, Train Loss: 0.0145, Train Acc: 1.0000, Test Loss: 0.0271, Test Acc: 1.0000, Epoch time: 7.052236 seconds
Train Size: 20, Epoch: 27/100, Train Loss: 0.0133, Train Acc: 1.0000, Test Loss: 0.0256, Test Acc: 1.0000, Epoch time: 7.259020 seconds
Train Size: 20, Epoch: 28/100, Train Loss: 0.0123, Train Acc: 1.0000, Test Loss: 0.0241, Test Acc: 1.0000, Epoch time: 7.416277 seconds
Train Size: 20, Epoch: 29/100, Train Loss: 0.0114, Train Acc: 1.0000, Test Loss: 0.0228, Test Acc: 1.0000, Epoch time: 6.517104 seconds
Train Size: 20, Epoch: 30/100, Train Loss: 0.0106, Train Acc: 1.0000, Test Loss: 0.0217, Test Acc: 1.0000, Epoch time: 6.061614 seconds
Train Size: 20, Epoch: 31/100, Train Loss: 0.0099, Train Acc: 1.0000, Test Loss: 0.0206, Test Acc: 1.0000, Epoch time: 6.089289 seconds
Train Size: 20, Epoch: 32/100, Train Loss: 0.0092, Train Acc: 1.0000, Test Loss: 0.0196, Test Acc: 1.0000, Epoch time: 6.104532 seconds
Train Size: 20, Epoch: 33/100, Train Loss: 0.0086, Train Acc: 1.0000, Test Loss: 0.0187, Test Acc: 1.0000, Epoch time: 6.126481 seconds
Train Size: 20, Epoch: 34/100, Train Loss: 0.0081, Train Acc: 1.0000, Test Loss: 0.0179, Test Acc: 1.0000, Epoch time: 6.088360 seconds
Train Size: 20, Epoch: 35/100, Train Loss: 0.0076, Train Acc: 1.0000, Test Loss: 0.0172, Test Acc: 1.0000, Epoch time: 6.261659 seconds
Train Size: 20, Epoch: 36/100, Train Loss: 0.0072, Train Acc: 1.0000, Test Loss: 0.0165, Test Acc: 1.0000, Epoch time: 6.107423 seconds
Train Size: 20, Epoch: 37/100, Train Loss: 0.0068, Train Acc: 1.0000, Test Loss: 0.0159, Test Acc: 1.0000, Epoch time: 6.079470 seconds
Train Size: 20, Epoch: 38/100, Train Loss: 0.0064, Train Acc: 1.0000, Test Loss: 0.0154, Test Acc: 1.0000, Epoch time: 6.147197 seconds
Train Size: 20, Epoch: 39/100, Train Loss: 0.0061, Train Acc: 1.0000, Test Loss: 0.0149, Test Acc: 1.0000, Epoch time: 6.087133 seconds
Train Size: 20, Epoch: 40/100, Train Loss: 0.0058, Train Acc: 1.0000, Test Loss: 0.0145, Test Acc: 1.0000, Epoch time: 6.056312 seconds
Train Size: 20, Epoch: 41/100, Train Loss: 0.0056, Train Acc: 1.0000, Test Loss: 0.0141, Test Acc: 1.0000, Epoch time: 6.087820 seconds
Train Size: 20, Epoch: 42/100, Train Loss: 0.0053, Train Acc: 1.0000, Test Loss: 0.0137, Test Acc: 1.0000, Epoch time: 6.085240 seconds
Train Size: 20, Epoch: 43/100, Train Loss: 0.0051, Train Acc: 1.0000, Test Loss: 0.0133, Test Acc: 1.0000, Epoch time: 6.170744 seconds
Train Size: 20, Epoch: 44/100, Train Loss: 0.0049, Train Acc: 1.0000, Test Loss: 0.0130, Test Acc: 1.0000, Epoch time: 6.085865 seconds
Train Size: 20, Epoch: 45/100, Train Loss: 0.0047, Train Acc: 1.0000, Test Loss: 0.0128, Test Acc: 1.0000, Epoch time: 6.468699 seconds
Train Size: 20, Epoch: 46/100, Train Loss: 0.0046, Train Acc: 1.0000, Test Loss: 0.0125, Test Acc: 1.0000, Epoch time: 6.561680 seconds
Train Size: 20, Epoch: 47/100, Train Loss: 0.0044, Train Acc: 1.0000, Test Loss: 0.0122, Test Acc: 1.0000, Epoch time: 6.183332 seconds
Train Size: 20, Epoch: 48/100, Train Loss: 0.0043, Train Acc: 1.0000, Test Loss: 0.0120, Test Acc: 1.0000, Epoch time: 5.893422 seconds
Train Size: 20, Epoch: 49/100, Train Loss: 0.0041, Train Acc: 1.0000, Test Loss: 0.0118, Test Acc: 1.0000, Epoch time: 5.911477 seconds
Train Size: 20, Epoch: 50/100, Train Loss: 0.0040, Train Acc: 1.0000, Test Loss: 0.0116, Test Acc: 1.0000, Epoch time: 6.456223 seconds
Train Size: 20, Epoch: 51/100, Train Loss: 0.0039, Train Acc: 1.0000, Test Loss: 0.0114, Test Acc: 1.0000, Epoch time: 6.823196 seconds
Train Size: 20, Epoch: 52/100, Train Loss: 0.0038, Train Acc: 1.0000, Test Loss: 0.0112, Test Acc: 1.0000, Epoch time: 6.368585 seconds
Train Size: 20, Epoch: 53/100, Train Loss: 0.0037, Train Acc: 1.0000, Test Loss: 0.0111, Test Acc: 1.0000, Epoch time: 6.550163 seconds
Train Size: 20, Epoch: 54/100, Train Loss: 0.0036, Train Acc: 1.0000, Test Loss: 0.0109, Test Acc: 1.0000, Epoch time: 6.277858 seconds
Train Size: 20, Epoch: 55/100, Train Loss: 0.0035, Train Acc: 1.0000, Test Loss: 0.0107, Test Acc: 1.0000, Epoch time: 6.134489 seconds
