
=== Starting training for train size 40 ===

Starting repetition 1/1 for train size 40
[1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1.
 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1.]
Train Size: 40, Epoch: 1/100, Train Loss: 0.8523, Train Acc: 0.3500, Test Loss: 0.7397, Test Acc: 0.3900, Epoch time: 9.213249 seconds
Train Size: 40, Epoch: 2/100, Train Loss: 0.7350, Train Acc: 0.4000, Test Loss: 0.6349, Test Acc: 0.7300, Epoch time: 9.355013 seconds
Train Size: 40, Epoch: 3/100, Train Loss: 0.6360, Train Acc: 0.6500, Test Loss: 0.5468, Test Acc: 0.9100, Epoch time: 9.231421 seconds
Train Size: 40, Epoch: 4/100, Train Loss: 0.5504, Train Acc: 0.8250, Test Loss: 0.4720, Test Acc: 0.9500, Epoch time: 8.656092 seconds
Train Size: 40, Epoch: 5/100, Train Loss: 0.4750, Train Acc: 0.9500, Test Loss: 0.4085, Test Acc: 0.9900, Epoch time: 8.668331 seconds
Train Size: 40, Epoch: 6/100, Train Loss: 0.4085, Train Acc: 0.9750, Test Loss: 0.3549, Test Acc: 0.9900, Epoch time: 8.791431 seconds
Train Size: 40, Epoch: 7/100, Train Loss: 0.3509, Train Acc: 1.0000, Test Loss: 0.3099, Test Acc: 0.9900, Epoch time: 8.539921 seconds
Train Size: 40, Epoch: 8/100, Train Loss: 0.3016, Train Acc: 1.0000, Test Loss: 0.2718, Test Acc: 0.9900, Epoch time: 8.163149 seconds
Train Size: 40, Epoch: 9/100, Train Loss: 0.2598, Train Acc: 1.0000, Test Loss: 0.2389, Test Acc: 0.9900, Epoch time: 8.928840 seconds
Train Size: 40, Epoch: 10/100, Train Loss: 0.2244, Train Acc: 1.0000, Test Loss: 0.2103, Test Acc: 1.0000, Epoch time: 8.938910 seconds
Train Size: 40, Epoch: 11/100, Train Loss: 0.1942, Train Acc: 1.0000, Test Loss: 0.1851, Test Acc: 1.0000, Epoch time: 7.866829 seconds
Train Size: 40, Epoch: 12/100, Train Loss: 0.1686, Train Acc: 1.0000, Test Loss: 0.1632, Test Acc: 1.0000, Epoch time: 7.893150 seconds
Train Size: 40, Epoch: 13/100, Train Loss: 0.1470, Train Acc: 1.0000, Test Loss: 0.1443, Test Acc: 1.0000, Epoch time: 8.103594 seconds
Train Size: 40, Epoch: 14/100, Train Loss: 0.1287, Train Acc: 1.0000, Test Loss: 0.1282, Test Acc: 1.0000, Epoch time: 7.899964 seconds
Train Size: 40, Epoch: 15/100, Train Loss: 0.1132, Train Acc: 1.0000, Test Loss: 0.1147, Test Acc: 1.0000, Epoch time: 8.163772 seconds
Train Size: 40, Epoch: 16/100, Train Loss: 0.1002, Train Acc: 1.0000, Test Loss: 0.1035, Test Acc: 1.0000, Epoch time: 9.258226 seconds
Train Size: 40, Epoch: 17/100, Train Loss: 0.0891, Train Acc: 1.0000, Test Loss: 0.0943, Test Acc: 1.0000, Epoch time: 8.953859 seconds
Train Size: 40, Epoch: 18/100, Train Loss: 0.0796, Train Acc: 1.0000, Test Loss: 0.0869, Test Acc: 1.0000, Epoch time: 8.516327 seconds
Train Size: 40, Epoch: 19/100, Train Loss: 0.0714, Train Acc: 1.0000, Test Loss: 0.0810, Test Acc: 1.0000, Epoch time: 8.024153 seconds
Train Size: 40, Epoch: 20/100, Train Loss: 0.0643, Train Acc: 1.0000, Test Loss: 0.0763, Test Acc: 1.0000, Epoch time: 7.994703 seconds
Train Size: 40, Epoch: 21/100, Train Loss: 0.0581, Train Acc: 1.0000, Test Loss: 0.0725, Test Acc: 1.0000, Epoch time: 7.858376 seconds
Train Size: 40, Epoch: 22/100, Train Loss: 0.0528, Train Acc: 1.0000, Test Loss: 0.0695, Test Acc: 1.0000, Epoch time: 10.112112 seconds
Train Size: 40, Epoch: 23/100, Train Loss: 0.0481, Train Acc: 1.0000, Test Loss: 0.0669, Test Acc: 1.0000, Epoch time: 11.186272 seconds
Train Size: 40, Epoch: 24/100, Train Loss: 0.0441, Train Acc: 1.0000, Test Loss: 0.0648, Test Acc: 1.0000, Epoch time: 9.262613 seconds
Train Size: 40, Epoch: 25/100, Train Loss: 0.0405, Train Acc: 1.0000, Test Loss: 0.0628, Test Acc: 1.0000, Epoch time: 9.038851 seconds
Train Size: 40, Epoch: 26/100, Train Loss: 0.0374, Train Acc: 1.0000, Test Loss: 0.0609, Test Acc: 1.0000, Epoch time: 9.353698 seconds
Train Size: 40, Epoch: 27/100, Train Loss: 0.0346, Train Acc: 1.0000, Test Loss: 0.0590, Test Acc: 1.0000, Epoch time: 8.278999 seconds
Train Size: 40, Epoch: 28/100, Train Loss: 0.0322, Train Acc: 1.0000, Test Loss: 0.0572, Test Acc: 1.0000, Epoch time: 8.463357 seconds
Train Size: 40, Epoch: 29/100, Train Loss: 0.0300, Train Acc: 1.0000, Test Loss: 0.0553, Test Acc: 1.0000, Epoch time: 8.275132 seconds
Train Size: 40, Epoch: 30/100, Train Loss: 0.0280, Train Acc: 1.0000, Test Loss: 0.0534, Test Acc: 1.0000, Epoch time: 7.996830 seconds
Train Size: 40, Epoch: 31/100, Train Loss: 0.0262, Train Acc: 1.0000, Test Loss: 0.0515, Test Acc: 1.0000, Epoch time: 8.001304 seconds
Train Size: 40, Epoch: 32/100, Train Loss: 0.0246, Train Acc: 1.0000, Test Loss: 0.0497, Test Acc: 1.0000, Epoch time: 8.178460 seconds
Train Size: 40, Epoch: 33/100, Train Loss: 0.0232, Train Acc: 1.0000, Test Loss: 0.0480, Test Acc: 1.0000, Epoch time: 8.734740 seconds
Train Size: 40, Epoch: 34/100, Train Loss: 0.0219, Train Acc: 1.0000, Test Loss: 0.0463, Test Acc: 1.0000, Epoch time: 9.301010 seconds
Train Size: 40, Epoch: 35/100, Train Loss: 0.0207, Train Acc: 1.0000, Test Loss: 0.0448, Test Acc: 1.0000, Epoch time: 8.833938 seconds
Train Size: 40, Epoch: 36/100, Train Loss: 0.0196, Train Acc: 1.0000, Test Loss: 0.0434, Test Acc: 1.0000, Epoch time: 7.856076 seconds
Train Size: 40, Epoch: 37/100, Train Loss: 0.0186, Train Acc: 1.0000, Test Loss: 0.0421, Test Acc: 1.0000, Epoch time: 7.934911 seconds
Train Size: 40, Epoch: 38/100, Train Loss: 0.0177, Train Acc: 1.0000, Test Loss: 0.0410, Test Acc: 1.0000, Epoch time: 8.080780 seconds
Train Size: 40, Epoch: 39/100, Train Loss: 0.0169, Train Acc: 1.0000, Test Loss: 0.0400, Test Acc: 1.0000, Epoch time: 8.218117 seconds
Train Size: 40, Epoch: 40/100, Train Loss: 0.0161, Train Acc: 1.0000, Test Loss: 0.0391, Test Acc: 1.0000, Epoch time: 8.729704 seconds
Train Size: 40, Epoch: 41/100, Train Loss: 0.0154, Train Acc: 1.0000, Test Loss: 0.0384, Test Acc: 1.0000, Epoch time: 10.609905 seconds
Train Size: 40, Epoch: 42/100, Train Loss: 0.0147, Train Acc: 1.0000, Test Loss: 0.0377, Test Acc: 1.0000, Epoch time: 8.921006 seconds
