
=== Starting training for train size 5 ===

Starting repetition 1/1 for train size 5
[0. 0. 0. 0. 0.]
Train Size: 5, Epoch: 1/100, Train Loss: 0.5516, Train Acc: 1.0000, Test Loss: 0.6308, Test Acc: 0.5400, Epoch time: 4.567424 seconds
Train Size: 5, Epoch: 2/100, Train Loss: 0.3346, Train Acc: 1.0000, Test Loss: 0.6286, Test Acc: 0.5400, Epoch time: 5.637593 seconds
Train Size: 5, Epoch: 3/100, Train Loss: 0.1966, Train Acc: 1.0000, Test Loss: 0.6559, Test Acc: 0.5400, Epoch time: 5.843909 seconds
Train Size: 5, Epoch: 4/100, Train Loss: 0.1149, Train Acc: 1.0000, Test Loss: 0.7008, Test Acc: 0.5400, Epoch time: 5.229567 seconds
Train Size: 5, Epoch: 5/100, Train Loss: 0.0683, Train Acc: 1.0000, Test Loss: 0.7547, Test Acc: 0.5400, Epoch time: 4.658748 seconds
Train Size: 5, Epoch: 6/100, Train Loss: 0.0417, Train Acc: 1.0000, Test Loss: 0.8120, Test Acc: 0.5400, Epoch time: 5.448270 seconds
Train Size: 5, Epoch: 7/100, Train Loss: 0.0264, Train Acc: 1.0000, Test Loss: 0.8696, Test Acc: 0.5400, Epoch time: 5.261895 seconds
Train Size: 5, Epoch: 8/100, Train Loss: 0.0173, Train Acc: 1.0000, Test Loss: 0.9257, Test Acc: 0.5400, Epoch time: 4.903008 seconds
Train Size: 5, Epoch: 9/100, Train Loss: 0.0117, Train Acc: 1.0000, Test Loss: 0.9794, Test Acc: 0.5400, Epoch time: 4.636566 seconds
Train Size: 5, Epoch: 10/100, Train Loss: 0.0082, Train Acc: 1.0000, Test Loss: 1.0301, Test Acc: 0.5400, Epoch time: 4.548070 seconds
Train Size: 5, Epoch: 11/100, Train Loss: 0.0059, Train Acc: 1.0000, Test Loss: 1.0778, Test Acc: 0.5400, Epoch time: 4.770539 seconds
Train Size: 5, Epoch: 12/100, Train Loss: 0.0043, Train Acc: 1.0000, Test Loss: 1.1224, Test Acc: 0.5400, Epoch time: 4.581402 seconds
Train Size: 5, Epoch: 13/100, Train Loss: 0.0033, Train Acc: 1.0000, Test Loss: 1.1639, Test Acc: 0.5400, Epoch time: 4.662702 seconds
Train Size: 5, Epoch: 14/100, Train Loss: 0.0026, Train Acc: 1.0000, Test Loss: 1.2025, Test Acc: 0.5400, Epoch time: 4.425324 seconds
Train Size: 5, Epoch: 15/100, Train Loss: 0.0020, Train Acc: 1.0000, Test Loss: 1.2384, Test Acc: 0.5400, Epoch time: 4.565746 seconds
Train Size: 5, Epoch: 16/100, Train Loss: 0.0016, Train Acc: 1.0000, Test Loss: 1.2715, Test Acc: 0.5400, Epoch time: 4.472054 seconds
Train Size: 5, Epoch: 17/100, Train Loss: 0.0013, Train Acc: 1.0000, Test Loss: 1.3022, Test Acc: 0.5400, Epoch time: 4.533005 seconds
Train Size: 5, Epoch: 18/100, Train Loss: 0.0011, Train Acc: 1.0000, Test Loss: 1.3306, Test Acc: 0.5400, Epoch time: 4.826903 seconds
Train Size: 5, Epoch: 19/100, Train Loss: 0.0009, Train Acc: 1.0000, Test Loss: 1.3568, Test Acc: 0.5400, Epoch time: 4.587921 seconds
Train Size: 5, Epoch: 20/100, Train Loss: 0.0008, Train Acc: 1.0000, Test Loss: 1.3810, Test Acc: 0.5400, Epoch time: 4.552134 seconds
Train Size: 5, Epoch: 21/100, Train Loss: 0.0007, Train Acc: 1.0000, Test Loss: 1.4034, Test Acc: 0.5400, Epoch time: 4.366254 seconds
Train Size: 5, Epoch: 22/100, Train Loss: 0.0006, Train Acc: 1.0000, Test Loss: 1.4240, Test Acc: 0.5400, Epoch time: 4.474652 seconds
Train Size: 5, Epoch: 23/100, Train Loss: 0.0006, Train Acc: 1.0000, Test Loss: 1.4430, Test Acc: 0.5400, Epoch time: 4.331222 seconds
Train Size: 5, Epoch: 24/100, Train Loss: 0.0005, Train Acc: 1.0000, Test Loss: 1.4605, Test Acc: 0.5400, Epoch time: 4.881441 seconds
Train Size: 5, Epoch: 25/100, Train Loss: 0.0005, Train Acc: 1.0000, Test Loss: 1.4766, Test Acc: 0.5400, Epoch time: 4.803845 seconds
Train Size: 5, Epoch: 26/100, Train Loss: 0.0004, Train Acc: 1.0000, Test Loss: 1.4915, Test Acc: 0.5400, Epoch time: 5.108602 seconds
Train Size: 5, Epoch: 27/100, Train Loss: 0.0004, Train Acc: 1.0000, Test Loss: 1.5052, Test Acc: 0.5400, Epoch time: 5.001520 seconds
Train Size: 5, Epoch: 28/100, Train Loss: 0.0004, Train Acc: 1.0000, Test Loss: 1.5178, Test Acc: 0.5400, Epoch time: 4.428043 seconds
Train Size: 5, Epoch: 29/100, Train Loss: 0.0003, Train Acc: 1.0000, Test Loss: 1.5294, Test Acc: 0.5400, Epoch time: 4.520814 seconds
Train Size: 5, Epoch: 30/100, Train Loss: 0.0003, Train Acc: 1.0000, Test Loss: 1.5401, Test Acc: 0.5400, Epoch time: 4.604808 seconds
Train Size: 5, Epoch: 31/100, Train Loss: 0.0003, Train Acc: 1.0000, Test Loss: 1.5499, Test Acc: 0.5400, Epoch time: 4.708167 seconds
Train Size: 5, Epoch: 32/100, Train Loss: 0.0003, Train Acc: 1.0000, Test Loss: 1.5590, Test Acc: 0.5400, Epoch time: 5.003402 seconds
Train Size: 5, Epoch: 33/100, Train Loss: 0.0003, Train Acc: 1.0000, Test Loss: 1.5673, Test Acc: 0.5400, Epoch time: 5.091272 seconds
Train Size: 5, Epoch: 34/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.5750, Test Acc: 0.5400, Epoch time: 4.566700 seconds
Train Size: 5, Epoch: 35/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.5821, Test Acc: 0.5400, Epoch time: 4.636829 seconds
Train Size: 5, Epoch: 36/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.5887, Test Acc: 0.5400, Epoch time: 4.414381 seconds
Train Size: 5, Epoch: 37/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.5947, Test Acc: 0.5400, Epoch time: 4.652690 seconds
Train Size: 5, Epoch: 38/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6003, Test Acc: 0.5400, Epoch time: 5.004829 seconds
Train Size: 5, Epoch: 39/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6054, Test Acc: 0.5400, Epoch time: 4.667930 seconds
Train Size: 5, Epoch: 40/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6101, Test Acc: 0.5400, Epoch time: 4.769397 seconds
Train Size: 5, Epoch: 41/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6145, Test Acc: 0.5400, Epoch time: 5.181723 seconds
Train Size: 5, Epoch: 42/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6186, Test Acc: 0.5400, Epoch time: 5.124351 seconds
Train Size: 5, Epoch: 43/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6223, Test Acc: 0.5400, Epoch time: 4.449337 seconds
Train Size: 5, Epoch: 44/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6258, Test Acc: 0.5400, Epoch time: 5.200228 seconds
Train Size: 5, Epoch: 45/100, Train Loss: 0.0002, Train Acc: 1.0000, Test Loss: 1.6290, Test Acc: 0.5400, Epoch time: 5.263016 seconds
