
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
[1. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1.
 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 1.
 0. 0. 0. 1. 0. 0. 1. 1.]
Train Size: 80, Epoch: 1/100, Train Loss: 0.8250, Train Acc: 0.5250, Test Loss: 0.6832, Test Acc: 0.5800, Epoch time: 14.199410 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.7032, Train Acc: 0.5500, Test Loss: 0.5930, Test Acc: 0.8200, Epoch time: 12.757066 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6035, Train Acc: 0.8250, Test Loss: 0.5146, Test Acc: 0.9500, Epoch time: 13.118994 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.5199, Train Acc: 0.8875, Test Loss: 0.4435, Test Acc: 0.9800, Epoch time: 12.223617 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.4469, Train Acc: 0.9750, Test Loss: 0.3796, Test Acc: 0.9800, Epoch time: 11.617758 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3829, Train Acc: 0.9750, Test Loss: 0.3239, Test Acc: 0.9800, Epoch time: 11.738994 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.3277, Train Acc: 0.9750, Test Loss: 0.2769, Test Acc: 0.9800, Epoch time: 12.833937 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2811, Train Acc: 0.9750, Test Loss: 0.2379, Test Acc: 0.9800, Epoch time: 12.918355 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2421, Train Acc: 0.9875, Test Loss: 0.2056, Test Acc: 0.9800, Epoch time: 12.522961 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.2096, Train Acc: 0.9875, Test Loss: 0.1785, Test Acc: 0.9900, Epoch time: 14.299893 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1821, Train Acc: 0.9875, Test Loss: 0.1557, Test Acc: 1.0000, Epoch time: 12.868940 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1588, Train Acc: 0.9875, Test Loss: 0.1361, Test Acc: 1.0000, Epoch time: 13.941182 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1389, Train Acc: 0.9875, Test Loss: 0.1194, Test Acc: 1.0000, Epoch time: 12.621183 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.1220, Train Acc: 0.9875, Test Loss: 0.1051, Test Acc: 1.0000, Epoch time: 12.408904 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.1076, Train Acc: 0.9875, Test Loss: 0.0929, Test Acc: 1.0000, Epoch time: 12.597429 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0955, Train Acc: 0.9875, Test Loss: 0.0824, Test Acc: 1.0000, Epoch time: 12.416254 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0852, Train Acc: 1.0000, Test Loss: 0.0734, Test Acc: 1.0000, Epoch time: 12.494112 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0764, Train Acc: 1.0000, Test Loss: 0.0657, Test Acc: 1.0000, Epoch time: 13.021067 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0689, Train Acc: 1.0000, Test Loss: 0.0591, Test Acc: 1.0000, Epoch time: 12.607709 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0625, Train Acc: 1.0000, Test Loss: 0.0533, Test Acc: 1.0000, Epoch time: 12.685673 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0568, Train Acc: 1.0000, Test Loss: 0.0484, Test Acc: 1.0000, Epoch time: 13.202451 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0519, Train Acc: 1.0000, Test Loss: 0.0441, Test Acc: 1.0000, Epoch time: 13.585618 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0475, Train Acc: 1.0000, Test Loss: 0.0404, Test Acc: 1.0000, Epoch time: 16.197207 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0437, Train Acc: 1.0000, Test Loss: 0.0372, Test Acc: 1.0000, Epoch time: 13.109474 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0404, Train Acc: 1.0000, Test Loss: 0.0344, Test Acc: 1.0000, Epoch time: 12.516457 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0374, Train Acc: 1.0000, Test Loss: 0.0320, Test Acc: 1.0000, Epoch time: 12.181773 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0349, Train Acc: 1.0000, Test Loss: 0.0299, Test Acc: 1.0000, Epoch time: 12.833701 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0326, Train Acc: 1.0000, Test Loss: 0.0281, Test Acc: 1.0000, Epoch time: 15.983535 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0306, Train Acc: 1.0000, Test Loss: 0.0264, Test Acc: 1.0000, Epoch time: 15.684975 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0288, Train Acc: 1.0000, Test Loss: 0.0249, Test Acc: 1.0000, Epoch time: 15.581964 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0271, Train Acc: 1.0000, Test Loss: 0.0235, Test Acc: 1.0000, Epoch time: 14.806850 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0257, Train Acc: 1.0000, Test Loss: 0.0222, Test Acc: 1.0000, Epoch time: 14.821087 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.0243, Train Acc: 1.0000, Test Loss: 0.0210, Test Acc: 1.0000, Epoch time: 13.099469 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.0231, Train Acc: 1.0000, Test Loss: 0.0199, Test Acc: 1.0000, Epoch time: 13.525712 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.0220, Train Acc: 1.0000, Test Loss: 0.0189, Test Acc: 1.0000, Epoch time: 14.188206 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.0210, Train Acc: 1.0000, Test Loss: 0.0180, Test Acc: 1.0000, Epoch time: 15.609765 seconds
Train Size: 80, Epoch: 37/100, Train Loss: 0.0200, Train Acc: 1.0000, Test Loss: 0.0171, Test Acc: 1.0000, Epoch time: 13.434232 seconds
Train Size: 80, Epoch: 38/100, Train Loss: 0.0192, Train Acc: 1.0000, Test Loss: 0.0163, Test Acc: 1.0000, Epoch time: 12.735501 seconds
Train Size: 80, Epoch: 39/100, Train Loss: 0.0184, Train Acc: 1.0000, Test Loss: 0.0156, Test Acc: 1.0000, Epoch time: 14.056244 seconds
Train Size: 80, Epoch: 40/100, Train Loss: 0.0177, Train Acc: 1.0000, Test Loss: 0.0149, Test Acc: 1.0000, Epoch time: 12.978478 seconds
Train Size: 80, Epoch: 41/100, Train Loss: 0.0170, Train Acc: 1.0000, Test Loss: 0.0143, Test Acc: 1.0000, Epoch time: 17.657831 seconds
Train Size: 80, Epoch: 42/100, Train Loss: 0.0164, Train Acc: 1.0000, Test Loss: 0.0138, Test Acc: 1.0000, Epoch time: 13.927882 seconds
Train Size: 80, Epoch: 43/100, Train Loss: 0.0158, Train Acc: 1.0000, Test Loss: 0.0133, Test Acc: 1.0000, Epoch time: 13.007612 seconds
Train Size: 80, Epoch: 44/100, Train Loss: 0.0152, Train Acc: 1.0000, Test Loss: 0.0129, Test Acc: 1.0000, Epoch time: 12.925137 seconds
Train Size: 80, Epoch: 45/100, Train Loss: 0.0147, Train Acc: 1.0000, Test Loss: 0.0125, Test Acc: 1.0000, Epoch time: 12.312711 seconds
Train Size: 80, Epoch: 46/100, Train Loss: 0.0143, Train Acc: 1.0000, Test Loss: 0.0121, Test Acc: 1.0000, Epoch time: 12.415961 seconds
Train Size: 80, Epoch: 47/100, Train Loss: 0.0138, Train Acc: 1.0000, Test Loss: 0.0118, Test Acc: 1.0000, Epoch time: 12.372840 seconds
Train Size: 80, Epoch: 48/100, Train Loss: 0.0134, Train Acc: 1.0000, Test Loss: 0.0115, Test Acc: 1.0000, Epoch time: 12.274909 seconds
Train Size: 80, Epoch: 49/100, Train Loss: 0.0130, Train Acc: 1.0000, Test Loss: 0.0112, Test Acc: 1.0000, Epoch time: 15.263264 seconds
Train Size: 80, Epoch: 50/100, Train Loss: 0.0126, Train Acc: 1.0000, Test Loss: 0.0109, Test Acc: 1.0000, Epoch time: 12.991824 seconds
Train Size: 80, Epoch: 51/100, Train Loss: 0.0123, Train Acc: 1.0000, Test Loss: 0.0107, Test Acc: 1.0000, Epoch time: 13.035413 seconds
Train Size: 80, Epoch: 52/100, Train Loss: 0.0119, Train Acc: 1.0000, Test Loss: 0.0105, Test Acc: 1.0000, Epoch time: 12.977417 seconds
Train Size: 80, Epoch: 53/100, Train Loss: 0.0116, Train Acc: 1.0000, Test Loss: 0.0103, Test Acc: 1.0000, Epoch time: 13.390015 seconds
Train Size: 80, Epoch: 54/100, Train Loss: 0.0113, Train Acc: 1.0000, Test Loss: 0.0101, Test Acc: 1.0000, Epoch time: 12.587358 seconds
Train Size: 80, Epoch: 55/100, Train Loss: 0.0110, Train Acc: 1.0000, Test Loss: 0.0098, Test Acc: 1.0000, Epoch time: 14.363379 seconds
Train Size: 80, Epoch: 56/100, Train Loss: 0.0107, Train Acc: 1.0000, Test Loss: 0.0097, Test Acc: 1.0000, Epoch time: 13.750033 seconds
Train Size: 80, Epoch: 57/100, Train Loss: 0.0105, Train Acc: 1.0000, Test Loss: 0.0095, Test Acc: 1.0000, Epoch time: 12.761537 seconds
Train Size: 80, Epoch: 58/100, Train Loss: 0.0102, Train Acc: 1.0000, Test Loss: 0.0093, Test Acc: 1.0000, Epoch time: 12.563600 seconds
Train Size: 80, Epoch: 59/100, Train Loss: 0.0100, Train Acc: 1.0000, Test Loss: 0.0091, Test Acc: 1.0000, Epoch time: 13.214782 seconds
Train Size: 80, Epoch: 60/100, Train Loss: 0.0097, Train Acc: 1.0000, Test Loss: 0.0089, Test Acc: 1.0000, Epoch time: 13.025138 seconds
Train Size: 80, Epoch: 61/100, Train Loss: 0.0095, Train Acc: 1.0000, Test Loss: 0.0087, Test Acc: 1.0000, Epoch time: 12.778897 seconds
Train Size: 80, Epoch: 62/100, Train Loss: 0.0093, Train Acc: 1.0000, Test Loss: 0.0086, Test Acc: 1.0000, Epoch time: 14.109583 seconds
Train Size: 80, Epoch: 63/100, Train Loss: 0.0091, Train Acc: 1.0000, Test Loss: 0.0084, Test Acc: 1.0000, Epoch time: 13.546577 seconds
Train Size: 80, Epoch: 64/100, Train Loss: 0.0089, Train Acc: 1.0000, Test Loss: 0.0083, Test Acc: 1.0000, Epoch time: 13.858685 seconds
Train Size: 80, Epoch: 65/100, Train Loss: 0.0087, Train Acc: 1.0000, Test Loss: 0.0081, Test Acc: 1.0000, Epoch time: 13.477105 seconds
Train Size: 80, Epoch: 66/100, Train Loss: 0.0085, Train Acc: 1.0000, Test Loss: 0.0080, Test Acc: 1.0000, Epoch time: 13.751762 seconds
Train Size: 80, Epoch: 67/100, Train Loss: 0.0083, Train Acc: 1.0000, Test Loss: 0.0079, Test Acc: 1.0000, Epoch time: 12.527667 seconds
Train Size: 80, Epoch: 68/100, Train Loss: 0.0082, Train Acc: 1.0000, Test Loss: 0.0077, Test Acc: 1.0000, Epoch time: 12.726096 seconds
Train Size: 80, Epoch: 69/100, Train Loss: 0.0080, Train Acc: 1.0000, Test Loss: 0.0076, Test Acc: 1.0000, Epoch time: 12.829633 seconds
Train Size: 80, Epoch: 70/100, Train Loss: 0.0078, Train Acc: 1.0000, Test Loss: 0.0075, Test Acc: 1.0000, Epoch time: 13.189980 seconds
Train Size: 80, Epoch: 71/100, Train Loss: 0.0077, Train Acc: 1.0000, Test Loss: 0.0074, Test Acc: 1.0000, Epoch time: 13.039597 seconds
Train Size: 80, Epoch: 72/100, Train Loss: 0.0075, Train Acc: 1.0000, Test Loss: 0.0073, Test Acc: 1.0000, Epoch time: 12.975957 seconds
Train Size: 80, Epoch: 73/100, Train Loss: 0.0074, Train Acc: 1.0000, Test Loss: 0.0072, Test Acc: 1.0000, Epoch time: 15.121319 seconds
Train Size: 80, Epoch: 74/100, Train Loss: 0.0073, Train Acc: 1.0000, Test Loss: 0.0071, Test Acc: 1.0000, Epoch time: 14.148713 seconds
Train Size: 80, Epoch: 75/100, Train Loss: 0.0071, Train Acc: 1.0000, Test Loss: 0.0070, Test Acc: 1.0000, Epoch time: 13.858105 seconds
Train Size: 80, Epoch: 76/100, Train Loss: 0.0070, Train Acc: 1.0000, Test Loss: 0.0069, Test Acc: 1.0000, Epoch time: 12.748516 seconds
Train Size: 80, Epoch: 77/100, Train Loss: 0.0069, Train Acc: 1.0000, Test Loss: 0.0069, Test Acc: 1.0000, Epoch time: 14.077291 seconds
Train Size: 80, Epoch: 78/100, Train Loss: 0.0067, Train Acc: 1.0000, Test Loss: 0.0068, Test Acc: 1.0000, Epoch time: 15.292037 seconds
Train Size: 80, Epoch: 79/100, Train Loss: 0.0066, Train Acc: 1.0000, Test Loss: 0.0067, Test Acc: 1.0000, Epoch time: 13.895616 seconds
Train Size: 80, Epoch: 80/100, Train Loss: 0.0065, Train Acc: 1.0000, Test Loss: 0.0066, Test Acc: 1.0000, Epoch time: 15.163698 seconds
Train Size: 80, Epoch: 81/100, Train Loss: 0.0064, Train Acc: 1.0000, Test Loss: 0.0066, Test Acc: 1.0000, Epoch time: 15.506056 seconds
