Using device: cpu

=== Starting training for train size 2 ===

Starting repetition 1/1 for train size 2
Train Size: 2, Epoch: 1/100, Train Loss: 0.7469, Train Acc: 0.0000, Test Loss: 0.6879, Test Acc: 0.6800, Epoch time: 7.508438 seconds
Train Size: 2, Epoch: 2/100, Train Loss: 0.6949, Train Acc: 0.5000, Test Loss: 0.6864, Test Acc: 0.4900, Epoch time: 7.337332 seconds
Train Size: 2, Epoch: 3/100, Train Loss: 0.6462, Train Acc: 1.0000, Test Loss: 0.6871, Test Acc: 0.4800, Epoch time: 7.149877 seconds
Train Size: 2, Epoch: 4/100, Train Loss: 0.6005, Train Acc: 1.0000, Test Loss: 0.6899, Test Acc: 0.4800, Epoch time: 7.245400 seconds
Train Size: 2, Epoch: 5/100, Train Loss: 0.5575, Train Acc: 1.0000, Test Loss: 0.6949, Test Acc: 0.4800, Epoch time: 7.595638 seconds
Train Size: 2, Epoch: 6/100, Train Loss: 0.5169, Train Acc: 1.0000, Test Loss: 0.7022, Test Acc: 0.4800, Epoch time: 7.335620 seconds
Train Size: 2, Epoch: 7/100, Train Loss: 0.4784, Train Acc: 1.0000, Test Loss: 0.7120, Test Acc: 0.4800, Epoch time: 7.083101 seconds
Train Size: 2, Epoch: 8/100, Train Loss: 0.4418, Train Acc: 1.0000, Test Loss: 0.7244, Test Acc: 0.4800, Epoch time: 6.822385 seconds
Train Size: 2, Epoch: 9/100, Train Loss: 0.4072, Train Acc: 1.0000, Test Loss: 0.7394, Test Acc: 0.4800, Epoch time: 6.833286 seconds
Train Size: 2, Epoch: 10/100, Train Loss: 0.3743, Train Acc: 1.0000, Test Loss: 0.7572, Test Acc: 0.4800, Epoch time: 6.802823 seconds
Train Size: 2, Epoch: 11/100, Train Loss: 0.3431, Train Acc: 1.0000, Test Loss: 0.7777, Test Acc: 0.4800, Epoch time: 6.811436 seconds
Train Size: 2, Epoch: 12/100, Train Loss: 0.3137, Train Acc: 1.0000, Test Loss: 0.8011, Test Acc: 0.4800, Epoch time: 6.820194 seconds
Train Size: 2, Epoch: 13/100, Train Loss: 0.2861, Train Acc: 1.0000, Test Loss: 0.8272, Test Acc: 0.4800, Epoch time: 6.840229 seconds
Train Size: 2, Epoch: 14/100, Train Loss: 0.2602, Train Acc: 1.0000, Test Loss: 0.8560, Test Acc: 0.4800, Epoch time: 6.822649 seconds
Train Size: 2, Epoch: 15/100, Train Loss: 0.2360, Train Acc: 1.0000, Test Loss: 0.8874, Test Acc: 0.4800, Epoch time: 6.820112 seconds
Train Size: 2, Epoch: 16/100, Train Loss: 0.2136, Train Acc: 1.0000, Test Loss: 0.9213, Test Acc: 0.4800, Epoch time: 7.206658 seconds
Train Size: 2, Epoch: 17/100, Train Loss: 0.1929, Train Acc: 1.0000, Test Loss: 0.9576, Test Acc: 0.4800, Epoch time: 6.832754 seconds
Train Size: 2, Epoch: 18/100, Train Loss: 0.1739, Train Acc: 1.0000, Test Loss: 0.9960, Test Acc: 0.4800, Epoch time: 7.685752 seconds
Train Size: 2, Epoch: 19/100, Train Loss: 0.1564, Train Acc: 1.0000, Test Loss: 1.0364, Test Acc: 0.4800, Epoch time: 7.195021 seconds
Train Size: 2, Epoch: 20/100, Train Loss: 0.1406, Train Acc: 1.0000, Test Loss: 1.0786, Test Acc: 0.4800, Epoch time: 7.579766 seconds
Train Size: 2, Epoch: 21/100, Train Loss: 0.1262, Train Acc: 1.0000, Test Loss: 1.1222, Test Acc: 0.4800, Epoch time: 7.100685 seconds
Train Size: 2, Epoch: 22/100, Train Loss: 0.1132, Train Acc: 1.0000, Test Loss: 1.1670, Test Acc: 0.4800, Epoch time: 7.055285 seconds
Train Size: 2, Epoch: 23/100, Train Loss: 0.1015, Train Acc: 1.0000, Test Loss: 1.2129, Test Acc: 0.4800, Epoch time: 7.235053 seconds
Train Size: 2, Epoch: 24/100, Train Loss: 0.0910, Train Acc: 1.0000, Test Loss: 1.2595, Test Acc: 0.4800, Epoch time: 7.202053 seconds
Train Size: 2, Epoch: 25/100, Train Loss: 0.0816, Train Acc: 1.0000, Test Loss: 1.3066, Test Acc: 0.4800, Epoch time: 7.186909 seconds
Train Size: 2, Epoch: 26/100, Train Loss: 0.0732, Train Acc: 1.0000, Test Loss: 1.3540, Test Acc: 0.4800, Epoch time: 7.393439 seconds
Train Size: 2, Epoch: 27/100, Train Loss: 0.0658, Train Acc: 1.0000, Test Loss: 1.4015, Test Acc: 0.4800, Epoch time: 6.830879 seconds
Train Size: 2, Epoch: 28/100, Train Loss: 0.0592, Train Acc: 1.0000, Test Loss: 1.4488, Test Acc: 0.4800, Epoch time: 6.784070 seconds
Train Size: 2, Epoch: 29/100, Train Loss: 0.0533, Train Acc: 1.0000, Test Loss: 1.4960, Test Acc: 0.4800, Epoch time: 6.799758 seconds
Train Size: 2, Epoch: 30/100, Train Loss: 0.0481, Train Acc: 1.0000, Test Loss: 1.5427, Test Acc: 0.4800, Epoch time: 6.795542 seconds
Train Size: 2, Epoch: 31/100, Train Loss: 0.0434, Train Acc: 1.0000, Test Loss: 1.5889, Test Acc: 0.4800, Epoch time: 6.787896 seconds
Train Size: 2, Epoch: 32/100, Train Loss: 0.0393, Train Acc: 1.0000, Test Loss: 1.6345, Test Acc: 0.4800, Epoch time: 7.579935 seconds
Train Size: 2, Epoch: 33/100, Train Loss: 0.0357, Train Acc: 1.0000, Test Loss: 1.6793, Test Acc: 0.4800, Epoch time: 6.939830 seconds
Train Size: 2, Epoch: 34/100, Train Loss: 0.0325, Train Acc: 1.0000, Test Loss: 1.7233, Test Acc: 0.4800, Epoch time: 7.687929 seconds
Train Size: 2, Epoch: 35/100, Train Loss: 0.0296, Train Acc: 1.0000, Test Loss: 1.7664, Test Acc: 0.4800, Epoch time: 7.361424 seconds
Train Size: 2, Epoch: 36/100, Train Loss: 0.0271, Train Acc: 1.0000, Test Loss: 1.8086, Test Acc: 0.4800, Epoch time: 6.807799 seconds
Train Size: 2, Epoch: 37/100, Train Loss: 0.0248, Train Acc: 1.0000, Test Loss: 1.8498, Test Acc: 0.4800, Epoch time: 6.964478 seconds
Train Size: 2, Epoch: 38/100, Train Loss: 0.0228, Train Acc: 1.0000, Test Loss: 1.8899, Test Acc: 0.4800, Epoch time: 6.814442 seconds
Train Size: 2, Epoch: 39/100, Train Loss: 0.0210, Train Acc: 1.0000, Test Loss: 1.9291, Test Acc: 0.4800, Epoch time: 7.185125 seconds
Train Size: 2, Epoch: 40/100, Train Loss: 0.0194, Train Acc: 1.0000, Test Loss: 1.9672, Test Acc: 0.4800, Epoch time: 7.032603 seconds
Train Size: 2, Epoch: 41/100, Train Loss: 0.0179, Train Acc: 1.0000, Test Loss: 2.0043, Test Acc: 0.4800, Epoch time: 6.809962 seconds
Train Size: 2, Epoch: 42/100, Train Loss: 0.0167, Train Acc: 1.0000, Test Loss: 2.0403, Test Acc: 0.4800, Epoch time: 7.344382 seconds
Train Size: 2, Epoch: 43/100, Train Loss: 0.0155, Train Acc: 1.0000, Test Loss: 2.0753, Test Acc: 0.4800, Epoch time: 6.827057 seconds
Train Size: 2, Epoch: 44/100, Train Loss: 0.0145, Train Acc: 1.0000, Test Loss: 2.1092, Test Acc: 0.4800, Epoch time: 7.037392 seconds
Train Size: 2, Epoch: 45/100, Train Loss: 0.0135, Train Acc: 1.0000, Test Loss: 2.1422, Test Acc: 0.4800, Epoch time: 7.181621 seconds
Train Size: 2, Epoch: 46/100, Train Loss: 0.0127, Train Acc: 1.0000, Test Loss: 2.1741, Test Acc: 0.4800, Epoch time: 7.080328 seconds
Train Size: 2, Epoch: 47/100, Train Loss: 0.0119, Train Acc: 1.0000, Test Loss: 2.2051, Test Acc: 0.4800, Epoch time: 7.193182 seconds
Train Size: 2, Epoch: 48/100, Train Loss: 0.0112, Train Acc: 1.0000, Test Loss: 2.2351, Test Acc: 0.4800, Epoch time: 7.065472 seconds
Train Size: 2, Epoch: 49/100, Train Loss: 0.0106, Train Acc: 1.0000, Test Loss: 2.2641, Test Acc: 0.4800, Epoch time: 7.014573 seconds
Train Size: 2, Epoch: 50/100, Train Loss: 0.0100, Train Acc: 1.0000, Test Loss: 2.2923, Test Acc: 0.4800, Epoch time: 6.810805 seconds
Train Size: 2, Epoch: 51/100, Train Loss: 0.0094, Train Acc: 1.0000, Test Loss: 2.3196, Test Acc: 0.4800, Epoch time: 6.991088 seconds
Train Size: 2, Epoch: 52/100, Train Loss: 0.0090, Train Acc: 1.0000, Test Loss: 2.3460, Test Acc: 0.4800, Epoch time: 7.049151 seconds
Train Size: 2, Epoch: 53/100, Train Loss: 0.0085, Train Acc: 1.0000, Test Loss: 2.3716, Test Acc: 0.4800, Epoch time: 6.790601 seconds
Train Size: 2, Epoch: 54/100, Train Loss: 0.0081, Train Acc: 1.0000, Test Loss: 2.3965, Test Acc: 0.4800, Epoch time: 6.995893 seconds
Train Size: 2, Epoch: 55/100, Train Loss: 0.0077, Train Acc: 1.0000, Test Loss: 2.4205, Test Acc: 0.4800, Epoch time: 6.790020 seconds
Train Size: 2, Epoch: 56/100, Train Loss: 0.0074, Train Acc: 1.0000, Test Loss: 2.4438, Test Acc: 0.4800, Epoch time: 6.787547 seconds
Train Size: 2, Epoch: 57/100, Train Loss: 0.0071, Train Acc: 1.0000, Test Loss: 2.4665, Test Acc: 0.4800, Epoch time: 7.135650 seconds
Train Size: 2, Epoch: 58/100, Train Loss: 0.0068, Train Acc: 1.0000, Test Loss: 2.4884, Test Acc: 0.4800, Epoch time: 6.855339 seconds
Train Size: 2, Epoch: 59/100, Train Loss: 0.0065, Train Acc: 1.0000, Test Loss: 2.5097, Test Acc: 0.4800, Epoch time: 7.035854 seconds
