
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 3.1786, Train Acc: 0.2125, Test Loss: 2.6968, Test Acc: 0.2100, Epoch time: 10.559407 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 2.3583, Train Acc: 0.3375, Test Loss: 1.8083, Test Acc: 0.2600, Epoch time: 10.549539 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 1.6092, Train Acc: 0.3625, Test Loss: 1.1255, Test Acc: 0.3600, Epoch time: 10.795813 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 1.0372, Train Acc: 0.5125, Test Loss: 0.6784, Test Acc: 0.5700, Epoch time: 11.310398 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6601, Train Acc: 0.7375, Test Loss: 0.3901, Test Acc: 0.7800, Epoch time: 12.093736 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.4070, Train Acc: 0.8625, Test Loss: 0.2305, Test Acc: 0.9300, Epoch time: 11.848134 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.2626, Train Acc: 0.9000, Test Loss: 0.1453, Test Acc: 0.9600, Epoch time: 13.617174 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.1810, Train Acc: 0.9125, Test Loss: 0.0958, Test Acc: 0.9600, Epoch time: 12.363869 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.1272, Train Acc: 0.9250, Test Loss: 0.0665, Test Acc: 0.9800, Epoch time: 13.583756 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.0885, Train Acc: 0.9500, Test Loss: 0.0506, Test Acc: 0.9900, Epoch time: 12.662424 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.0616, Train Acc: 0.9750, Test Loss: 0.0430, Test Acc: 0.9900, Epoch time: 13.115967 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.0447, Train Acc: 1.0000, Test Loss: 0.0399, Test Acc: 0.9900, Epoch time: 12.178674 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.0347, Train Acc: 1.0000, Test Loss: 0.0384, Test Acc: 0.9800, Epoch time: 13.286561 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0290, Train Acc: 0.9875, Test Loss: 0.0370, Test Acc: 0.9800, Epoch time: 12.199611 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0252, Train Acc: 0.9875, Test Loss: 0.0353, Test Acc: 0.9800, Epoch time: 11.722188 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0222, Train Acc: 0.9875, Test Loss: 0.0330, Test Acc: 0.9900, Epoch time: 11.766724 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0197, Train Acc: 0.9875, Test Loss: 0.0302, Test Acc: 0.9900, Epoch time: 11.484148 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0173, Train Acc: 0.9875, Test Loss: 0.0272, Test Acc: 0.9900, Epoch time: 11.600204 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0151, Train Acc: 0.9875, Test Loss: 0.0242, Test Acc: 0.9900, Epoch time: 11.774074 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0132, Train Acc: 1.0000, Test Loss: 0.0214, Test Acc: 0.9900, Epoch time: 11.755794 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0116, Train Acc: 1.0000, Test Loss: 0.0188, Test Acc: 0.9900, Epoch time: 13.968751 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0102, Train Acc: 1.0000, Test Loss: 0.0166, Test Acc: 0.9900, Epoch time: 12.291537 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0091, Train Acc: 1.0000, Test Loss: 0.0147, Test Acc: 0.9900, Epoch time: 11.588942 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0083, Train Acc: 1.0000, Test Loss: 0.0131, Test Acc: 0.9900, Epoch time: 11.811593 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0077, Train Acc: 1.0000, Test Loss: 0.0119, Test Acc: 1.0000, Epoch time: 11.693493 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0073, Train Acc: 1.0000, Test Loss: 0.0110, Test Acc: 1.0000, Epoch time: 13.068008 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0070, Train Acc: 1.0000, Test Loss: 0.0103, Test Acc: 1.0000, Epoch time: 11.752881 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0068, Train Acc: 1.0000, Test Loss: 0.0097, Test Acc: 1.0000, Epoch time: 11.898618 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0066, Train Acc: 1.0000, Test Loss: 0.0092, Test Acc: 1.0000, Epoch time: 11.759194 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0064, Train Acc: 1.0000, Test Loss: 0.0089, Test Acc: 1.0000, Epoch time: 11.819951 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0062, Train Acc: 1.0000, Test Loss: 0.0086, Test Acc: 1.0000, Epoch time: 11.650079 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0060, Train Acc: 1.0000, Test Loss: 0.0083, Test Acc: 1.0000, Epoch time: 11.876613 seconds
