
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7320, Train Acc: 0.5000, Test Loss: 0.6988, Test Acc: 0.4600, Epoch time: 16.260800 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6857, Train Acc: 0.6000, Test Loss: 0.6804, Test Acc: 0.4900, Epoch time: 16.401276 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6640, Train Acc: 0.5375, Test Loss: 0.6496, Test Acc: 0.5600, Epoch time: 16.710223 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6344, Train Acc: 0.6500, Test Loss: 0.6119, Test Acc: 0.8600, Epoch time: 16.741657 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6003, Train Acc: 0.8625, Test Loss: 0.5752, Test Acc: 0.9500, Epoch time: 17.218964 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.5681, Train Acc: 0.9625, Test Loss: 0.5430, Test Acc: 0.9400, Epoch time: 17.045394 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.5404, Train Acc: 0.9000, Test Loss: 0.5148, Test Acc: 0.9000, Epoch time: 17.001299 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.5159, Train Acc: 0.8875, Test Loss: 0.4884, Test Acc: 0.9200, Epoch time: 17.280111 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.4918, Train Acc: 0.8750, Test Loss: 0.4626, Test Acc: 0.9200, Epoch time: 17.177325 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.4672, Train Acc: 0.8875, Test Loss: 0.4380, Test Acc: 0.9600, Epoch time: 17.438393 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.4427, Train Acc: 0.9375, Test Loss: 0.4153, Test Acc: 0.9800, Epoch time: 17.407078 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.4197, Train Acc: 0.9875, Test Loss: 0.3948, Test Acc: 0.9900, Epoch time: 17.520917 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.3988, Train Acc: 0.9875, Test Loss: 0.3759, Test Acc: 0.9900, Epoch time: 17.847911 seconds
