
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.6956, Train Acc: 0.5750, Test Loss: 0.6961, Test Acc: 0.4500, Epoch time: 19.059501 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6818, Train Acc: 0.5625, Test Loss: 0.6901, Test Acc: 0.4500, Epoch time: 21.836218 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6695, Train Acc: 0.5625, Test Loss: 0.6836, Test Acc: 0.4500, Epoch time: 23.152733 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6582, Train Acc: 0.5625, Test Loss: 0.6761, Test Acc: 0.4500, Epoch time: 23.547576 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6475, Train Acc: 0.5625, Test Loss: 0.6667, Test Acc: 0.4500, Epoch time: 23.804853 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.6368, Train Acc: 0.5625, Test Loss: 0.6553, Test Acc: 0.4500, Epoch time: 22.477326 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.6261, Train Acc: 0.5625, Test Loss: 0.6423, Test Acc: 0.4700, Epoch time: 22.335275 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.6152, Train Acc: 0.5750, Test Loss: 0.6281, Test Acc: 0.5400, Epoch time: 23.759020 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.6043, Train Acc: 0.6500, Test Loss: 0.6135, Test Acc: 0.7000, Epoch time: 25.470898 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.5937, Train Acc: 0.7375, Test Loss: 0.5993, Test Acc: 0.8000, Epoch time: 23.007672 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.5834, Train Acc: 0.8375, Test Loss: 0.5862, Test Acc: 0.8800, Epoch time: 22.707921 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.5732, Train Acc: 0.9125, Test Loss: 0.5746, Test Acc: 0.9200, Epoch time: 23.785446 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.5629, Train Acc: 0.9375, Test Loss: 0.5643, Test Acc: 0.9200, Epoch time: 24.255694 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.5523, Train Acc: 0.9375, Test Loss: 0.5552, Test Acc: 0.9100, Epoch time: 24.142962 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.5415, Train Acc: 0.9375, Test Loss: 0.5471, Test Acc: 0.8900, Epoch time: 25.376294 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.5307, Train Acc: 0.9250, Test Loss: 0.5395, Test Acc: 0.8900, Epoch time: 26.221467 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.5201, Train Acc: 0.9250, Test Loss: 0.5314, Test Acc: 0.8900, Epoch time: 23.699408 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.5095, Train Acc: 0.9250, Test Loss: 0.5220, Test Acc: 0.8900, Epoch time: 22.956660 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.4989, Train Acc: 0.9250, Test Loss: 0.5108, Test Acc: 0.8900, Epoch time: 23.088990 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.4882, Train Acc: 0.9250, Test Loss: 0.4981, Test Acc: 0.9000, Epoch time: 29.125298 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.4773, Train Acc: 0.9375, Test Loss: 0.4847, Test Acc: 0.9300, Epoch time: 25.575561 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.4666, Train Acc: 0.9625, Test Loss: 0.4720, Test Acc: 0.9400, Epoch time: 25.437592 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.4560, Train Acc: 0.9875, Test Loss: 0.4605, Test Acc: 0.9400, Epoch time: 25.318848 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.4454, Train Acc: 0.9875, Test Loss: 0.4507, Test Acc: 0.9400, Epoch time: 23.248057 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.4347, Train Acc: 0.9875, Test Loss: 0.4423, Test Acc: 0.9400, Epoch time: 23.629426 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.4240, Train Acc: 0.9875, Test Loss: 0.4343, Test Acc: 0.9400, Epoch time: 24.472713 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.4135, Train Acc: 0.9750, Test Loss: 0.4253, Test Acc: 0.9400, Epoch time: 23.964769 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.4032, Train Acc: 0.9750, Test Loss: 0.4143, Test Acc: 0.9400, Epoch time: 26.041100 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.3927, Train Acc: 0.9750, Test Loss: 0.4018, Test Acc: 0.9400, Epoch time: 27.359893 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.3823, Train Acc: 0.9875, Test Loss: 0.3895, Test Acc: 0.9400, Epoch time: 26.462227 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.3721, Train Acc: 0.9875, Test Loss: 0.3787, Test Acc: 0.9400, Epoch time: 27.636495 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.3619, Train Acc: 0.9875, Test Loss: 0.3697, Test Acc: 0.9400, Epoch time: 26.085747 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.3516, Train Acc: 0.9875, Test Loss: 0.3616, Test Acc: 0.9400, Epoch time: 25.811664 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.3415, Train Acc: 0.9875, Test Loss: 0.3524, Test Acc: 0.9400, Epoch time: 24.268484 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.3315, Train Acc: 0.9875, Test Loss: 0.3411, Test Acc: 0.9400, Epoch time: 25.217184 seconds
