
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7102, Train Acc: 0.4750, Test Loss: 0.6848, Test Acc: 0.5400, Epoch time: 15.565757 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.7002, Train Acc: 0.4750, Test Loss: 0.6765, Test Acc: 0.5400, Epoch time: 15.940556 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6904, Train Acc: 0.4750, Test Loss: 0.6683, Test Acc: 0.5400, Epoch time: 19.625996 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6806, Train Acc: 0.4750, Test Loss: 0.6601, Test Acc: 0.5400, Epoch time: 19.586693 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6709, Train Acc: 0.4750, Test Loss: 0.6520, Test Acc: 0.6100, Epoch time: 18.383120 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.6613, Train Acc: 0.5500, Test Loss: 0.6439, Test Acc: 0.7500, Epoch time: 17.335398 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.6519, Train Acc: 0.7125, Test Loss: 0.6358, Test Acc: 0.8900, Epoch time: 16.533909 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.6425, Train Acc: 0.8750, Test Loss: 0.6278, Test Acc: 0.9600, Epoch time: 16.759675 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.6333, Train Acc: 0.9500, Test Loss: 0.6197, Test Acc: 0.9800, Epoch time: 16.524145 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.6241, Train Acc: 0.9875, Test Loss: 0.6115, Test Acc: 1.0000, Epoch time: 16.998750 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.6150, Train Acc: 0.9875, Test Loss: 0.6033, Test Acc: 1.0000, Epoch time: 16.960639 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.6060, Train Acc: 0.9750, Test Loss: 0.5950, Test Acc: 1.0000, Epoch time: 16.857182 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.5971, Train Acc: 0.9875, Test Loss: 0.5867, Test Acc: 1.0000, Epoch time: 17.461020 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.5882, Train Acc: 0.9875, Test Loss: 0.5783, Test Acc: 1.0000, Epoch time: 19.894568 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.5794, Train Acc: 0.9875, Test Loss: 0.5699, Test Acc: 1.0000, Epoch time: 18.384094 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.5707, Train Acc: 0.9875, Test Loss: 0.5615, Test Acc: 1.0000, Epoch time: 16.756804 seconds
