
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7815, Train Acc: 0.5000, Test Loss: 0.6698, Test Acc: 0.5800, Epoch time: 10.604053 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6532, Train Acc: 0.6000, Test Loss: 0.5704, Test Acc: 0.7900, Epoch time: 12.763633 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.5602, Train Acc: 0.8250, Test Loss: 0.4978, Test Acc: 0.8400, Epoch time: 11.838965 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.4907, Train Acc: 0.8750, Test Loss: 0.4356, Test Acc: 0.8500, Epoch time: 11.836474 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.4294, Train Acc: 0.9125, Test Loss: 0.3772, Test Acc: 0.9300, Epoch time: 11.515882 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3710, Train Acc: 0.9375, Test Loss: 0.3232, Test Acc: 0.9700, Epoch time: 11.678463 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.3170, Train Acc: 0.9500, Test Loss: 0.2755, Test Acc: 0.9700, Epoch time: 11.486040 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2696, Train Acc: 0.9750, Test Loss: 0.2352, Test Acc: 0.9800, Epoch time: 12.042634 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2300, Train Acc: 0.9750, Test Loss: 0.2022, Test Acc: 0.9900, Epoch time: 13.574257 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1978, Train Acc: 0.9875, Test Loss: 0.1751, Test Acc: 0.9900, Epoch time: 13.356792 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1716, Train Acc: 0.9875, Test Loss: 0.1525, Test Acc: 0.9900, Epoch time: 12.039371 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1497, Train Acc: 0.9875, Test Loss: 0.1332, Test Acc: 0.9900, Epoch time: 11.885287 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1308, Train Acc: 0.9875, Test Loss: 0.1163, Test Acc: 0.9900, Epoch time: 13.607674 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.1143, Train Acc: 0.9875, Test Loss: 0.1014, Test Acc: 0.9900, Epoch time: 11.752639 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0998, Train Acc: 1.0000, Test Loss: 0.0885, Test Acc: 0.9900, Epoch time: 11.882035 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0871, Train Acc: 1.0000, Test Loss: 0.0774, Test Acc: 0.9900, Epoch time: 12.489623 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0761, Train Acc: 1.0000, Test Loss: 0.0679, Test Acc: 0.9900, Epoch time: 11.829892 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0668, Train Acc: 1.0000, Test Loss: 0.0599, Test Acc: 0.9900, Epoch time: 11.815123 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0590, Train Acc: 1.0000, Test Loss: 0.0532, Test Acc: 1.0000, Epoch time: 12.011520 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0524, Train Acc: 1.0000, Test Loss: 0.0475, Test Acc: 1.0000, Epoch time: 12.087435 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0468, Train Acc: 1.0000, Test Loss: 0.0426, Test Acc: 1.0000, Epoch time: 12.299298 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0421, Train Acc: 1.0000, Test Loss: 0.0384, Test Acc: 1.0000, Epoch time: 12.425066 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0379, Train Acc: 1.0000, Test Loss: 0.0347, Test Acc: 1.0000, Epoch time: 12.887179 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0343, Train Acc: 1.0000, Test Loss: 0.0316, Test Acc: 1.0000, Epoch time: 14.582649 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0312, Train Acc: 1.0000, Test Loss: 0.0287, Test Acc: 1.0000, Epoch time: 12.020046 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0283, Train Acc: 1.0000, Test Loss: 0.0263, Test Acc: 1.0000, Epoch time: 12.043964 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0258, Train Acc: 1.0000, Test Loss: 0.0241, Test Acc: 1.0000, Epoch time: 11.836833 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0236, Train Acc: 1.0000, Test Loss: 0.0222, Test Acc: 1.0000, Epoch time: 12.028193 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0216, Train Acc: 1.0000, Test Loss: 0.0206, Test Acc: 1.0000, Epoch time: 11.889454 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0198, Train Acc: 1.0000, Test Loss: 0.0191, Test Acc: 1.0000, Epoch time: 12.094712 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0183, Train Acc: 1.0000, Test Loss: 0.0178, Test Acc: 1.0000, Epoch time: 11.925502 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0169, Train Acc: 1.0000, Test Loss: 0.0167, Test Acc: 1.0000, Epoch time: 12.095750 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.0157, Train Acc: 1.0000, Test Loss: 0.0158, Test Acc: 1.0000, Epoch time: 11.929609 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.0146, Train Acc: 1.0000, Test Loss: 0.0149, Test Acc: 1.0000, Epoch time: 11.975884 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.0136, Train Acc: 1.0000, Test Loss: 0.0142, Test Acc: 1.0000, Epoch time: 13.427181 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.0128, Train Acc: 1.0000, Test Loss: 0.0135, Test Acc: 1.0000, Epoch time: 12.627439 seconds
