
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.8306, Train Acc: 0.4250, Test Loss: 0.6431, Test Acc: 0.5500, Epoch time: 18.825830 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.6747, Train Acc: 0.4875, Test Loss: 0.5501, Test Acc: 0.7800, Epoch time: 19.933209 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.5574, Train Acc: 0.7875, Test Loss: 0.4807, Test Acc: 0.9500, Epoch time: 22.665866 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.4719, Train Acc: 0.9625, Test Loss: 0.4261, Test Acc: 0.9600, Epoch time: 23.236672 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.4083, Train Acc: 0.9625, Test Loss: 0.3783, Test Acc: 0.9600, Epoch time: 21.012764 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3564, Train Acc: 0.9625, Test Loss: 0.3322, Test Acc: 0.9700, Epoch time: 21.373182 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.3096, Train Acc: 0.9625, Test Loss: 0.2873, Test Acc: 0.9800, Epoch time: 21.748562 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2661, Train Acc: 0.9750, Test Loss: 0.2453, Test Acc: 0.9800, Epoch time: 24.231329 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2266, Train Acc: 0.9750, Test Loss: 0.2081, Test Acc: 0.9900, Epoch time: 23.003558 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1922, Train Acc: 0.9875, Test Loss: 0.1769, Test Acc: 0.9900, Epoch time: 22.348826 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1634, Train Acc: 0.9875, Test Loss: 0.1516, Test Acc: 0.9900, Epoch time: 22.885593 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1401, Train Acc: 0.9875, Test Loss: 0.1314, Test Acc: 1.0000, Epoch time: 23.406314 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1214, Train Acc: 0.9875, Test Loss: 0.1154, Test Acc: 1.0000, Epoch time: 24.398659 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.1064, Train Acc: 0.9875, Test Loss: 0.1026, Test Acc: 1.0000, Epoch time: 23.558462 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0942, Train Acc: 0.9875, Test Loss: 0.0920, Test Acc: 1.0000, Epoch time: 22.631260 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0841, Train Acc: 0.9875, Test Loss: 0.0830, Test Acc: 1.0000, Epoch time: 25.292055 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0755, Train Acc: 0.9875, Test Loss: 0.0753, Test Acc: 1.0000, Epoch time: 22.394116 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0681, Train Acc: 1.0000, Test Loss: 0.0685, Test Acc: 1.0000, Epoch time: 22.309929 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0616, Train Acc: 1.0000, Test Loss: 0.0625, Test Acc: 1.0000, Epoch time: 22.413508 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0558, Train Acc: 1.0000, Test Loss: 0.0571, Test Acc: 1.0000, Epoch time: 22.460871 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0508, Train Acc: 1.0000, Test Loss: 0.0523, Test Acc: 1.0000, Epoch time: 22.700793 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0463, Train Acc: 1.0000, Test Loss: 0.0481, Test Acc: 1.0000, Epoch time: 22.500442 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0424, Train Acc: 1.0000, Test Loss: 0.0443, Test Acc: 1.0000, Epoch time: 22.464721 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0390, Train Acc: 1.0000, Test Loss: 0.0410, Test Acc: 1.0000, Epoch time: 22.531849 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0360, Train Acc: 1.0000, Test Loss: 0.0381, Test Acc: 1.0000, Epoch time: 22.506611 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0334, Train Acc: 1.0000, Test Loss: 0.0355, Test Acc: 1.0000, Epoch time: 22.508982 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0311, Train Acc: 1.0000, Test Loss: 0.0333, Test Acc: 1.0000, Epoch time: 22.552373 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0291, Train Acc: 1.0000, Test Loss: 0.0313, Test Acc: 1.0000, Epoch time: 22.564372 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0273, Train Acc: 1.0000, Test Loss: 0.0296, Test Acc: 1.0000, Epoch time: 22.518431 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0258, Train Acc: 1.0000, Test Loss: 0.0281, Test Acc: 1.0000, Epoch time: 23.395909 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0244, Train Acc: 1.0000, Test Loss: 0.0267, Test Acc: 1.0000, Epoch time: 22.697852 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0232, Train Acc: 1.0000, Test Loss: 0.0255, Test Acc: 1.0000, Epoch time: 22.714217 seconds
