
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.7089, Train Acc: 0.3250, Test Loss: 0.7010, Test Acc: 0.3900, Epoch time: 25.031023 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.7019, Train Acc: 0.4000, Test Loss: 0.6922, Test Acc: 0.4800, Epoch time: 25.632559 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.7001, Train Acc: 0.4375, Test Loss: 0.6844, Test Acc: 0.5600, Epoch time: 25.700827 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6818, Train Acc: 0.5750, Test Loss: 0.6730, Test Acc: 0.6700, Epoch time: 27.377444 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.6734, Train Acc: 0.7250, Test Loss: 0.6748, Test Acc: 0.6700, Epoch time: 27.787284 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.6589, Train Acc: 0.7625, Test Loss: 0.6593, Test Acc: 0.7100, Epoch time: 27.361837 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.6536, Train Acc: 0.7500, Test Loss: 0.6659, Test Acc: 0.6700, Epoch time: 27.370514 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.6504, Train Acc: 0.7875, Test Loss: 0.6538, Test Acc: 0.7600, Epoch time: 27.661898 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.6365, Train Acc: 0.7625, Test Loss: 0.6418, Test Acc: 0.7600, Epoch time: 27.844326 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.6312, Train Acc: 0.7875, Test Loss: 0.6393, Test Acc: 0.7900, Epoch time: 29.896943 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.6255, Train Acc: 0.7875, Test Loss: 0.6252, Test Acc: 0.8100, Epoch time: 33.196810 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.6198, Train Acc: 0.8750, Test Loss: 0.6246, Test Acc: 0.8500, Epoch time: 32.069443 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.6064, Train Acc: 0.9000, Test Loss: 0.6147, Test Acc: 0.9000, Epoch time: 30.363872 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.5966, Train Acc: 0.9000, Test Loss: 0.6070, Test Acc: 0.9000, Epoch time: 30.551022 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.5907, Train Acc: 0.9375, Test Loss: 0.5995, Test Acc: 0.9300, Epoch time: 29.435935 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.5826, Train Acc: 0.9500, Test Loss: 0.5921, Test Acc: 0.9200, Epoch time: 27.609188 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.5744, Train Acc: 0.9750, Test Loss: 0.5837, Test Acc: 0.9500, Epoch time: 29.969099 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.5662, Train Acc: 0.9875, Test Loss: 0.5762, Test Acc: 0.9700, Epoch time: 29.588651 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.5600, Train Acc: 0.9500, Test Loss: 0.5678, Test Acc: 0.9300, Epoch time: 28.340583 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.5508, Train Acc: 0.9375, Test Loss: 0.5602, Test Acc: 0.9600, Epoch time: 26.810499 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.5453, Train Acc: 0.9750, Test Loss: 0.5611, Test Acc: 0.9100, Epoch time: 26.833940 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.5408, Train Acc: 0.9750, Test Loss: 0.5444, Test Acc: 0.9400, Epoch time: 28.169726 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.5412, Train Acc: 0.9375, Test Loss: 0.5471, Test Acc: 0.9400, Epoch time: 29.142703 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.5277, Train Acc: 0.9625, Test Loss: 0.5410, Test Acc: 0.9500, Epoch time: 26.279257 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.5194, Train Acc: 0.9500, Test Loss: 0.5314, Test Acc: 0.9600, Epoch time: 25.346497 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.5147, Train Acc: 0.9500, Test Loss: 0.5279, Test Acc: 0.9600, Epoch time: 25.871686 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.5075, Train Acc: 0.9875, Test Loss: 0.5226, Test Acc: 0.9600, Epoch time: 24.979388 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.4972, Train Acc: 0.9750, Test Loss: 0.5151, Test Acc: 0.9600, Epoch time: 24.748081 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.4904, Train Acc: 0.9875, Test Loss: 0.5150, Test Acc: 0.9600, Epoch time: 24.909683 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.4857, Train Acc: 0.9750, Test Loss: 0.5050, Test Acc: 0.9700, Epoch time: 24.895054 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.4823, Train Acc: 0.9750, Test Loss: 0.4995, Test Acc: 0.9600, Epoch time: 26.108382 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.4759, Train Acc: 0.9750, Test Loss: 0.4967, Test Acc: 0.9600, Epoch time: 25.013666 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.4678, Train Acc: 0.9875, Test Loss: 0.4882, Test Acc: 0.9600, Epoch time: 24.571530 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.4641, Train Acc: 0.9875, Test Loss: 0.4812, Test Acc: 0.9600, Epoch time: 26.132195 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.4578, Train Acc: 0.9875, Test Loss: 0.4803, Test Acc: 0.9600, Epoch time: 26.368572 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.4523, Train Acc: 0.9875, Test Loss: 0.4725, Test Acc: 0.9600, Epoch time: 26.637755 seconds
Train Size: 80, Epoch: 37/100, Train Loss: 0.4471, Train Acc: 0.9875, Test Loss: 0.4678, Test Acc: 0.9600, Epoch time: 26.960475 seconds
Train Size: 80, Epoch: 38/100, Train Loss: 0.4421, Train Acc: 0.9875, Test Loss: 0.4632, Test Acc: 0.9600, Epoch time: 26.373497 seconds
Train Size: 80, Epoch: 39/100, Train Loss: 0.4365, Train Acc: 0.9875, Test Loss: 0.4577, Test Acc: 0.9600, Epoch time: 25.135419 seconds
Train Size: 80, Epoch: 40/100, Train Loss: 0.4301, Train Acc: 0.9875, Test Loss: 0.4514, Test Acc: 0.9600, Epoch time: 24.960146 seconds
Train Size: 80, Epoch: 41/100, Train Loss: 0.4252, Train Acc: 0.9875, Test Loss: 0.4449, Test Acc: 0.9800, Epoch time: 28.267867 seconds
Train Size: 80, Epoch: 42/100, Train Loss: 0.4219, Train Acc: 0.9875, Test Loss: 0.4392, Test Acc: 0.9900, Epoch time: 28.495207 seconds
Train Size: 80, Epoch: 43/100, Train Loss: 0.4148, Train Acc: 0.9875, Test Loss: 0.4352, Test Acc: 0.9900, Epoch time: 28.998201 seconds
Train Size: 80, Epoch: 44/100, Train Loss: 0.4108, Train Acc: 0.9875, Test Loss: 0.4302, Test Acc: 0.9900, Epoch time: 26.269967 seconds
Train Size: 80, Epoch: 45/100, Train Loss: 0.4054, Train Acc: 0.9875, Test Loss: 0.4233, Test Acc: 0.9900, Epoch time: 27.222035 seconds
Train Size: 80, Epoch: 46/100, Train Loss: 0.4014, Train Acc: 0.9875, Test Loss: 0.4207, Test Acc: 0.9900, Epoch time: 24.888860 seconds
