
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.6645, Train Acc: 0.6375, Test Loss: 0.5163, Test Acc: 0.8300, Epoch time: 10.427148 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.5603, Train Acc: 0.7375, Test Loss: 0.4346, Test Acc: 0.9300, Epoch time: 11.210986 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.4705, Train Acc: 0.8375, Test Loss: 0.3656, Test Acc: 0.9600, Epoch time: 11.658251 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.3942, Train Acc: 0.9250, Test Loss: 0.3080, Test Acc: 0.9700, Epoch time: 12.091811 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.3303, Train Acc: 0.9500, Test Loss: 0.2603, Test Acc: 0.9800, Epoch time: 11.781436 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.2771, Train Acc: 0.9625, Test Loss: 0.2212, Test Acc: 0.9900, Epoch time: 12.261212 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.2331, Train Acc: 1.0000, Test Loss: 0.1889, Test Acc: 0.9900, Epoch time: 12.042833 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.1969, Train Acc: 1.0000, Test Loss: 0.1624, Test Acc: 0.9900, Epoch time: 12.039257 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.1671, Train Acc: 1.0000, Test Loss: 0.1405, Test Acc: 1.0000, Epoch time: 13.187868 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1427, Train Acc: 1.0000, Test Loss: 0.1224, Test Acc: 1.0000, Epoch time: 12.123986 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1226, Train Acc: 1.0000, Test Loss: 0.1074, Test Acc: 1.0000, Epoch time: 12.333198 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1060, Train Acc: 1.0000, Test Loss: 0.0948, Test Acc: 1.0000, Epoch time: 12.185683 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.0923, Train Acc: 1.0000, Test Loss: 0.0843, Test Acc: 1.0000, Epoch time: 12.673306 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0810, Train Acc: 1.0000, Test Loss: 0.0755, Test Acc: 1.0000, Epoch time: 12.428737 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0715, Train Acc: 1.0000, Test Loss: 0.0680, Test Acc: 1.0000, Epoch time: 12.447871 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0635, Train Acc: 1.0000, Test Loss: 0.0616, Test Acc: 1.0000, Epoch time: 12.518080 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0568, Train Acc: 1.0000, Test Loss: 0.0561, Test Acc: 1.0000, Epoch time: 12.376022 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0512, Train Acc: 1.0000, Test Loss: 0.0515, Test Acc: 1.0000, Epoch time: 12.621202 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0464, Train Acc: 1.0000, Test Loss: 0.0474, Test Acc: 1.0000, Epoch time: 12.528506 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0422, Train Acc: 1.0000, Test Loss: 0.0439, Test Acc: 1.0000, Epoch time: 13.598467 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0387, Train Acc: 1.0000, Test Loss: 0.0408, Test Acc: 1.0000, Epoch time: 13.647678 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0356, Train Acc: 1.0000, Test Loss: 0.0382, Test Acc: 1.0000, Epoch time: 13.066321 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0329, Train Acc: 1.0000, Test Loss: 0.0358, Test Acc: 1.0000, Epoch time: 13.200816 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0306, Train Acc: 1.0000, Test Loss: 0.0337, Test Acc: 1.0000, Epoch time: 14.234291 seconds
