
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.8802, Train Acc: 0.1500, Test Loss: 0.7351, Test Acc: 0.3700, Epoch time: 15.172373 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.7502, Train Acc: 0.4250, Test Loss: 0.6275, Test Acc: 0.6600, Epoch time: 16.947008 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6372, Train Acc: 0.7250, Test Loss: 0.5332, Test Acc: 0.8600, Epoch time: 17.206719 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.5399, Train Acc: 0.8625, Test Loss: 0.4513, Test Acc: 0.9800, Epoch time: 17.637342 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.4567, Train Acc: 0.9250, Test Loss: 0.3814, Test Acc: 1.0000, Epoch time: 17.367438 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3865, Train Acc: 0.9625, Test Loss: 0.3230, Test Acc: 1.0000, Epoch time: 17.190853 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.3279, Train Acc: 0.9750, Test Loss: 0.2747, Test Acc: 1.0000, Epoch time: 17.312343 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2793, Train Acc: 0.9750, Test Loss: 0.2349, Test Acc: 1.0000, Epoch time: 17.346823 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2389, Train Acc: 0.9875, Test Loss: 0.2022, Test Acc: 1.0000, Epoch time: 17.230326 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.2053, Train Acc: 1.0000, Test Loss: 0.1752, Test Acc: 1.0000, Epoch time: 17.645890 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1774, Train Acc: 1.0000, Test Loss: 0.1529, Test Acc: 1.0000, Epoch time: 18.317767 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1540, Train Acc: 1.0000, Test Loss: 0.1343, Test Acc: 1.0000, Epoch time: 17.719680 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1346, Train Acc: 1.0000, Test Loss: 0.1188, Test Acc: 1.0000, Epoch time: 17.675597 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.1183, Train Acc: 1.0000, Test Loss: 0.1057, Test Acc: 1.0000, Epoch time: 17.830769 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.1047, Train Acc: 1.0000, Test Loss: 0.0947, Test Acc: 1.0000, Epoch time: 17.832770 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0931, Train Acc: 1.0000, Test Loss: 0.0853, Test Acc: 1.0000, Epoch time: 17.687278 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0834, Train Acc: 1.0000, Test Loss: 0.0772, Test Acc: 1.0000, Epoch time: 17.888975 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0751, Train Acc: 1.0000, Test Loss: 0.0703, Test Acc: 1.0000, Epoch time: 18.183452 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0679, Train Acc: 1.0000, Test Loss: 0.0644, Test Acc: 1.0000, Epoch time: 17.747257 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0618, Train Acc: 1.0000, Test Loss: 0.0592, Test Acc: 1.0000, Epoch time: 17.504263 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0565, Train Acc: 1.0000, Test Loss: 0.0548, Test Acc: 1.0000, Epoch time: 17.747144 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0519, Train Acc: 1.0000, Test Loss: 0.0509, Test Acc: 1.0000, Epoch time: 17.797486 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0479, Train Acc: 1.0000, Test Loss: 0.0475, Test Acc: 1.0000, Epoch time: 17.826886 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0444, Train Acc: 1.0000, Test Loss: 0.0445, Test Acc: 1.0000, Epoch time: 17.617652 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0414, Train Acc: 1.0000, Test Loss: 0.0419, Test Acc: 1.0000, Epoch time: 17.783403 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0387, Train Acc: 1.0000, Test Loss: 0.0395, Test Acc: 1.0000, Epoch time: 17.665127 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0363, Train Acc: 1.0000, Test Loss: 0.0375, Test Acc: 1.0000, Epoch time: 17.832689 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0342, Train Acc: 1.0000, Test Loss: 0.0356, Test Acc: 1.0000, Epoch time: 17.631828 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0323, Train Acc: 1.0000, Test Loss: 0.0339, Test Acc: 1.0000, Epoch time: 17.784680 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0306, Train Acc: 1.0000, Test Loss: 0.0324, Test Acc: 1.0000, Epoch time: 17.661872 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0290, Train Acc: 1.0000, Test Loss: 0.0310, Test Acc: 1.0000, Epoch time: 17.886499 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0276, Train Acc: 1.0000, Test Loss: 0.0298, Test Acc: 1.0000, Epoch time: 17.590520 seconds
