
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.8430, Train Acc: 0.3250, Test Loss: 0.7988, Test Acc: 0.3000, Epoch time: 18.658178 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.7119, Train Acc: 0.4625, Test Loss: 0.6757, Test Acc: 0.5100, Epoch time: 20.590462 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.5973, Train Acc: 0.6625, Test Loss: 0.5687, Test Acc: 0.7600, Epoch time: 21.467123 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.4992, Train Acc: 0.8750, Test Loss: 0.4772, Test Acc: 0.9000, Epoch time: 22.339663 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.4164, Train Acc: 0.9375, Test Loss: 0.4002, Test Acc: 0.9600, Epoch time: 21.917747 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3475, Train Acc: 0.9875, Test Loss: 0.3359, Test Acc: 0.9900, Epoch time: 23.362103 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.2905, Train Acc: 0.9875, Test Loss: 0.2829, Test Acc: 0.9900, Epoch time: 23.337057 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2439, Train Acc: 0.9875, Test Loss: 0.2393, Test Acc: 0.9900, Epoch time: 22.830715 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2057, Train Acc: 0.9875, Test Loss: 0.2035, Test Acc: 1.0000, Epoch time: 22.763936 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1746, Train Acc: 0.9875, Test Loss: 0.1743, Test Acc: 1.0000, Epoch time: 23.170051 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1493, Train Acc: 1.0000, Test Loss: 0.1503, Test Acc: 1.0000, Epoch time: 23.008644 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1285, Train Acc: 1.0000, Test Loss: 0.1306, Test Acc: 1.0000, Epoch time: 23.252207 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1115, Train Acc: 1.0000, Test Loss: 0.1144, Test Acc: 1.0000, Epoch time: 23.264887 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0974, Train Acc: 1.0000, Test Loss: 0.1010, Test Acc: 1.0000, Epoch time: 24.136760 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0857, Train Acc: 1.0000, Test Loss: 0.0898, Test Acc: 1.0000, Epoch time: 23.462418 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0759, Train Acc: 1.0000, Test Loss: 0.0804, Test Acc: 1.0000, Epoch time: 23.652267 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0677, Train Acc: 1.0000, Test Loss: 0.0725, Test Acc: 1.0000, Epoch time: 23.489187 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0607, Train Acc: 1.0000, Test Loss: 0.0658, Test Acc: 1.0000, Epoch time: 25.457388 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0548, Train Acc: 1.0000, Test Loss: 0.0601, Test Acc: 1.0000, Epoch time: 26.517370 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0497, Train Acc: 1.0000, Test Loss: 0.0553, Test Acc: 1.0000, Epoch time: 26.275975 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0453, Train Acc: 1.0000, Test Loss: 0.0511, Test Acc: 1.0000, Epoch time: 24.776116 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0415, Train Acc: 1.0000, Test Loss: 0.0474, Test Acc: 1.0000, Epoch time: 26.780517 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0382, Train Acc: 1.0000, Test Loss: 0.0442, Test Acc: 1.0000, Epoch time: 24.440171 seconds
