
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.5947, Train Acc: 0.7250, Test Loss: 0.4565, Test Acc: 0.9000, Epoch time: 14.489405 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.5009, Train Acc: 0.9000, Test Loss: 0.3839, Test Acc: 0.9700, Epoch time: 17.954463 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.4207, Train Acc: 0.9375, Test Loss: 0.3229, Test Acc: 0.9900, Epoch time: 18.072490 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.3529, Train Acc: 0.9750, Test Loss: 0.2723, Test Acc: 1.0000, Epoch time: 17.359809 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.2964, Train Acc: 1.0000, Test Loss: 0.2305, Test Acc: 1.0000, Epoch time: 17.443266 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.2496, Train Acc: 1.0000, Test Loss: 0.1961, Test Acc: 1.0000, Epoch time: 18.705004 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.2109, Train Acc: 1.0000, Test Loss: 0.1679, Test Acc: 1.0000, Epoch time: 16.418979 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.1792, Train Acc: 1.0000, Test Loss: 0.1446, Test Acc: 1.0000, Epoch time: 17.908062 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.1530, Train Acc: 1.0000, Test Loss: 0.1253, Test Acc: 1.0000, Epoch time: 16.460865 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1315, Train Acc: 1.0000, Test Loss: 0.1094, Test Acc: 1.0000, Epoch time: 17.283493 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1137, Train Acc: 1.0000, Test Loss: 0.0962, Test Acc: 1.0000, Epoch time: 16.573141 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.0990, Train Acc: 1.0000, Test Loss: 0.0851, Test Acc: 1.0000, Epoch time: 16.861452 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.0867, Train Acc: 1.0000, Test Loss: 0.0758, Test Acc: 1.0000, Epoch time: 16.670968 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0765, Train Acc: 1.0000, Test Loss: 0.0679, Test Acc: 1.0000, Epoch time: 16.504512 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0678, Train Acc: 1.0000, Test Loss: 0.0612, Test Acc: 1.0000, Epoch time: 17.838287 seconds
