
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.9839, Train Acc: 0.2625, Test Loss: 0.7890, Test Acc: 0.4300, Epoch time: 18.389096 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.8147, Train Acc: 0.4250, Test Loss: 0.6580, Test Acc: 0.6400, Epoch time: 20.743213 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.6713, Train Acc: 0.6000, Test Loss: 0.5477, Test Acc: 0.7200, Epoch time: 21.719115 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.5516, Train Acc: 0.7625, Test Loss: 0.4556, Test Acc: 0.8600, Epoch time: 21.521665 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.4532, Train Acc: 0.8500, Test Loss: 0.3792, Test Acc: 0.9000, Epoch time: 21.792784 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.3728, Train Acc: 0.9375, Test Loss: 0.3165, Test Acc: 0.9300, Epoch time: 22.365264 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.3078, Train Acc: 0.9375, Test Loss: 0.2651, Test Acc: 0.9500, Epoch time: 22.305371 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.2553, Train Acc: 0.9375, Test Loss: 0.2233, Test Acc: 0.9600, Epoch time: 22.298955 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2130, Train Acc: 0.9500, Test Loss: 0.1891, Test Acc: 0.9700, Epoch time: 22.503555 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.1787, Train Acc: 0.9625, Test Loss: 0.1612, Test Acc: 0.9700, Epoch time: 22.689886 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.1509, Train Acc: 0.9625, Test Loss: 0.1384, Test Acc: 0.9700, Epoch time: 22.744029 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1283, Train Acc: 0.9750, Test Loss: 0.1197, Test Acc: 0.9900, Epoch time: 22.952240 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1098, Train Acc: 0.9750, Test Loss: 0.1042, Test Acc: 1.0000, Epoch time: 23.073575 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.0947, Train Acc: 0.9875, Test Loss: 0.0914, Test Acc: 1.0000, Epoch time: 23.444817 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.0822, Train Acc: 0.9875, Test Loss: 0.0807, Test Acc: 1.0000, Epoch time: 23.070358 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.0719, Train Acc: 1.0000, Test Loss: 0.0717, Test Acc: 1.0000, Epoch time: 23.487362 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0632, Train Acc: 1.0000, Test Loss: 0.0641, Test Acc: 1.0000, Epoch time: 23.001011 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0560, Train Acc: 1.0000, Test Loss: 0.0576, Test Acc: 1.0000, Epoch time: 23.397382 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0499, Train Acc: 1.0000, Test Loss: 0.0520, Test Acc: 1.0000, Epoch time: 23.023909 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0447, Train Acc: 1.0000, Test Loss: 0.0472, Test Acc: 1.0000, Epoch time: 23.020252 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0403, Train Acc: 1.0000, Test Loss: 0.0429, Test Acc: 1.0000, Epoch time: 22.873494 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0364, Train Acc: 1.0000, Test Loss: 0.0392, Test Acc: 1.0000, Epoch time: 23.031797 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0331, Train Acc: 1.0000, Test Loss: 0.0359, Test Acc: 1.0000, Epoch time: 22.882166 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0302, Train Acc: 1.0000, Test Loss: 0.0330, Test Acc: 1.0000, Epoch time: 23.086141 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0277, Train Acc: 1.0000, Test Loss: 0.0304, Test Acc: 1.0000, Epoch time: 23.134594 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0254, Train Acc: 1.0000, Test Loss: 0.0282, Test Acc: 1.0000, Epoch time: 23.570611 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0235, Train Acc: 1.0000, Test Loss: 0.0262, Test Acc: 1.0000, Epoch time: 23.316967 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0217, Train Acc: 1.0000, Test Loss: 0.0244, Test Acc: 1.0000, Epoch time: 22.946004 seconds
Train Size: 80, Epoch: 29/100, Train Loss: 0.0202, Train Acc: 1.0000, Test Loss: 0.0228, Test Acc: 1.0000, Epoch time: 23.161421 seconds
Train Size: 80, Epoch: 30/100, Train Loss: 0.0189, Train Acc: 1.0000, Test Loss: 0.0214, Test Acc: 1.0000, Epoch time: 23.444456 seconds
Train Size: 80, Epoch: 31/100, Train Loss: 0.0177, Train Acc: 1.0000, Test Loss: 0.0202, Test Acc: 1.0000, Epoch time: 23.032888 seconds
Train Size: 80, Epoch: 32/100, Train Loss: 0.0166, Train Acc: 1.0000, Test Loss: 0.0191, Test Acc: 1.0000, Epoch time: 23.203999 seconds
Train Size: 80, Epoch: 33/100, Train Loss: 0.0157, Train Acc: 1.0000, Test Loss: 0.0181, Test Acc: 1.0000, Epoch time: 23.090786 seconds
Train Size: 80, Epoch: 34/100, Train Loss: 0.0148, Train Acc: 1.0000, Test Loss: 0.0172, Test Acc: 1.0000, Epoch time: 23.554390 seconds
Train Size: 80, Epoch: 35/100, Train Loss: 0.0141, Train Acc: 1.0000, Test Loss: 0.0164, Test Acc: 1.0000, Epoch time: 23.314422 seconds
Train Size: 80, Epoch: 36/100, Train Loss: 0.0134, Train Acc: 1.0000, Test Loss: 0.0157, Test Acc: 1.0000, Epoch time: 23.081798 seconds
Train Size: 80, Epoch: 37/100, Train Loss: 0.0128, Train Acc: 1.0000, Test Loss: 0.0150, Test Acc: 1.0000, Epoch time: 23.105568 seconds
Train Size: 80, Epoch: 38/100, Train Loss: 0.0122, Train Acc: 1.0000, Test Loss: 0.0144, Test Acc: 1.0000, Epoch time: 23.048467 seconds
Train Size: 80, Epoch: 39/100, Train Loss: 0.0117, Train Acc: 1.0000, Test Loss: 0.0139, Test Acc: 1.0000, Epoch time: 23.227367 seconds
Train Size: 80, Epoch: 40/100, Train Loss: 0.0112, Train Acc: 1.0000, Test Loss: 0.0134, Test Acc: 1.0000, Epoch time: 23.362728 seconds
Train Size: 80, Epoch: 41/100, Train Loss: 0.0108, Train Acc: 1.0000, Test Loss: 0.0129, Test Acc: 1.0000, Epoch time: 23.480222 seconds
Train Size: 80, Epoch: 42/100, Train Loss: 0.0104, Train Acc: 1.0000, Test Loss: 0.0125, Test Acc: 1.0000, Epoch time: 23.662611 seconds
Train Size: 80, Epoch: 43/100, Train Loss: 0.0100, Train Acc: 1.0000, Test Loss: 0.0121, Test Acc: 1.0000, Epoch time: 23.474622 seconds
Train Size: 80, Epoch: 44/100, Train Loss: 0.0097, Train Acc: 1.0000, Test Loss: 0.0117, Test Acc: 1.0000, Epoch time: 23.617283 seconds
Train Size: 80, Epoch: 45/100, Train Loss: 0.0094, Train Acc: 1.0000, Test Loss: 0.0114, Test Acc: 1.0000, Epoch time: 23.365165 seconds
Train Size: 80, Epoch: 46/100, Train Loss: 0.0090, Train Acc: 1.0000, Test Loss: 0.0111, Test Acc: 1.0000, Epoch time: 23.259085 seconds
Train Size: 80, Epoch: 47/100, Train Loss: 0.0088, Train Acc: 1.0000, Test Loss: 0.0108, Test Acc: 1.0000, Epoch time: 23.275112 seconds
Train Size: 80, Epoch: 48/100, Train Loss: 0.0085, Train Acc: 1.0000, Test Loss: 0.0105, Test Acc: 1.0000, Epoch time: 23.513886 seconds
Train Size: 80, Epoch: 49/100, Train Loss: 0.0082, Train Acc: 1.0000, Test Loss: 0.0103, Test Acc: 1.0000, Epoch time: 23.371365 seconds
Train Size: 80, Epoch: 50/100, Train Loss: 0.0080, Train Acc: 1.0000, Test Loss: 0.0100, Test Acc: 1.0000, Epoch time: 23.178828 seconds
Train Size: 80, Epoch: 51/100, Train Loss: 0.0078, Train Acc: 1.0000, Test Loss: 0.0098, Test Acc: 1.0000, Epoch time: 23.214589 seconds
Train Size: 80, Epoch: 52/100, Train Loss: 0.0076, Train Acc: 1.0000, Test Loss: 0.0096, Test Acc: 1.0000, Epoch time: 23.282704 seconds
Train Size: 80, Epoch: 53/100, Train Loss: 0.0074, Train Acc: 1.0000, Test Loss: 0.0094, Test Acc: 1.0000, Epoch time: 23.269696 seconds
Train Size: 80, Epoch: 54/100, Train Loss: 0.0072, Train Acc: 1.0000, Test Loss: 0.0092, Test Acc: 1.0000, Epoch time: 23.063836 seconds
Train Size: 80, Epoch: 55/100, Train Loss: 0.0070, Train Acc: 1.0000, Test Loss: 0.0090, Test Acc: 1.0000, Epoch time: 23.188595 seconds
Train Size: 80, Epoch: 56/100, Train Loss: 0.0068, Train Acc: 1.0000, Test Loss: 0.0088, Test Acc: 1.0000, Epoch time: 23.371373 seconds
Train Size: 80, Epoch: 57/100, Train Loss: 0.0067, Train Acc: 1.0000, Test Loss: 0.0087, Test Acc: 1.0000, Epoch time: 23.488603 seconds
Train Size: 80, Epoch: 58/100, Train Loss: 0.0065, Train Acc: 1.0000, Test Loss: 0.0085, Test Acc: 1.0000, Epoch time: 23.244621 seconds
Train Size: 80, Epoch: 59/100, Train Loss: 0.0063, Train Acc: 1.0000, Test Loss: 0.0083, Test Acc: 1.0000, Epoch time: 23.175557 seconds
Train Size: 80, Epoch: 60/100, Train Loss: 0.0062, Train Acc: 1.0000, Test Loss: 0.0082, Test Acc: 1.0000, Epoch time: 23.130280 seconds
Train Size: 80, Epoch: 61/100, Train Loss: 0.0061, Train Acc: 1.0000, Test Loss: 0.0081, Test Acc: 1.0000, Epoch time: 23.269024 seconds
Train Size: 80, Epoch: 62/100, Train Loss: 0.0059, Train Acc: 1.0000, Test Loss: 0.0079, Test Acc: 1.0000, Epoch time: 23.405349 seconds
Train Size: 80, Epoch: 63/100, Train Loss: 0.0058, Train Acc: 1.0000, Test Loss: 0.0078, Test Acc: 1.0000, Epoch time: 23.161234 seconds
Train Size: 80, Epoch: 64/100, Train Loss: 0.0057, Train Acc: 1.0000, Test Loss: 0.0077, Test Acc: 1.0000, Epoch time: 23.066281 seconds
Train Size: 80, Epoch: 65/100, Train Loss: 0.0056, Train Acc: 1.0000, Test Loss: 0.0076, Test Acc: 1.0000, Epoch time: 23.321890 seconds
Train Size: 80, Epoch: 66/100, Train Loss: 0.0055, Train Acc: 1.0000, Test Loss: 0.0075, Test Acc: 1.0000, Epoch time: 23.401122 seconds
Train Size: 80, Epoch: 67/100, Train Loss: 0.0054, Train Acc: 1.0000, Test Loss: 0.0073, Test Acc: 1.0000, Epoch time: 23.392974 seconds
Train Size: 80, Epoch: 68/100, Train Loss: 0.0052, Train Acc: 1.0000, Test Loss: 0.0072, Test Acc: 1.0000, Epoch time: 24.221586 seconds
Train Size: 80, Epoch: 69/100, Train Loss: 0.0051, Train Acc: 1.0000, Test Loss: 0.0071, Test Acc: 1.0000, Epoch time: 24.841129 seconds
Train Size: 80, Epoch: 70/100, Train Loss: 0.0050, Train Acc: 1.0000, Test Loss: 0.0070, Test Acc: 1.0000, Epoch time: 23.296275 seconds
Train Size: 80, Epoch: 71/100, Train Loss: 0.0050, Train Acc: 1.0000, Test Loss: 0.0069, Test Acc: 1.0000, Epoch time: 23.319307 seconds
Train Size: 80, Epoch: 72/100, Train Loss: 0.0049, Train Acc: 1.0000, Test Loss: 0.0068, Test Acc: 1.0000, Epoch time: 23.278785 seconds
Train Size: 80, Epoch: 73/100, Train Loss: 0.0048, Train Acc: 1.0000, Test Loss: 0.0067, Test Acc: 1.0000, Epoch time: 23.188229 seconds
Train Size: 80, Epoch: 74/100, Train Loss: 0.0047, Train Acc: 1.0000, Test Loss: 0.0067, Test Acc: 1.0000, Epoch time: 23.324708 seconds
Train Size: 80, Epoch: 75/100, Train Loss: 0.0046, Train Acc: 1.0000, Test Loss: 0.0066, Test Acc: 1.0000, Epoch time: 23.297895 seconds
Train Size: 80, Epoch: 76/100, Train Loss: 0.0045, Train Acc: 1.0000, Test Loss: 0.0065, Test Acc: 1.0000, Epoch time: 23.624152 seconds
Train Size: 80, Epoch: 77/100, Train Loss: 0.0045, Train Acc: 1.0000, Test Loss: 0.0064, Test Acc: 1.0000, Epoch time: 24.822971 seconds
Train Size: 80, Epoch: 78/100, Train Loss: 0.0044, Train Acc: 1.0000, Test Loss: 0.0063, Test Acc: 1.0000, Epoch time: 24.991626 seconds
Train Size: 80, Epoch: 79/100, Train Loss: 0.0043, Train Acc: 1.0000, Test Loss: 0.0062, Test Acc: 1.0000, Epoch time: 24.663038 seconds
Train Size: 80, Epoch: 80/100, Train Loss: 0.0042, Train Acc: 1.0000, Test Loss: 0.0062, Test Acc: 1.0000, Epoch time: 26.394937 seconds
Train Size: 80, Epoch: 81/100, Train Loss: 0.0042, Train Acc: 1.0000, Test Loss: 0.0061, Test Acc: 1.0000, Epoch time: 25.960379 seconds
Train Size: 80, Epoch: 82/100, Train Loss: 0.0041, Train Acc: 1.0000, Test Loss: 0.0060, Test Acc: 1.0000, Epoch time: 26.059614 seconds
Train Size: 80, Epoch: 83/100, Train Loss: 0.0040, Train Acc: 1.0000, Test Loss: 0.0059, Test Acc: 1.0000, Epoch time: 23.754863 seconds
Train Size: 80, Epoch: 84/100, Train Loss: 0.0040, Train Acc: 1.0000, Test Loss: 0.0059, Test Acc: 1.0000, Epoch time: 24.641846 seconds
