
=== Starting training for train size 80 ===

Starting repetition 1/1 for train size 80
Train Size: 80, Epoch: 1/100, Train Loss: 0.9660, Train Acc: 0.1000, Test Loss: 0.8033, Test Acc: 0.2700, Epoch time: 22.762363 seconds
Train Size: 80, Epoch: 2/100, Train Loss: 0.8287, Train Acc: 0.2375, Test Loss: 0.6904, Test Acc: 0.5400, Epoch time: 24.447950 seconds
Train Size: 80, Epoch: 3/100, Train Loss: 0.7087, Train Acc: 0.4625, Test Loss: 0.5909, Test Acc: 0.7200, Epoch time: 22.777845 seconds
Train Size: 80, Epoch: 4/100, Train Loss: 0.6058, Train Acc: 0.7125, Test Loss: 0.5050, Test Acc: 0.8800, Epoch time: 24.140264 seconds
Train Size: 80, Epoch: 5/100, Train Loss: 0.5138, Train Acc: 0.8875, Test Loss: 0.4270, Test Acc: 0.9700, Epoch time: 23.378753 seconds
Train Size: 80, Epoch: 6/100, Train Loss: 0.4378, Train Acc: 0.9125, Test Loss: 0.3692, Test Acc: 0.9800, Epoch time: 23.199264 seconds
Train Size: 80, Epoch: 7/100, Train Loss: 0.3722, Train Acc: 0.9625, Test Loss: 0.3147, Test Acc: 0.9800, Epoch time: 24.374667 seconds
Train Size: 80, Epoch: 8/100, Train Loss: 0.3226, Train Acc: 0.9750, Test Loss: 0.2758, Test Acc: 0.9700, Epoch time: 23.832550 seconds
Train Size: 80, Epoch: 9/100, Train Loss: 0.2740, Train Acc: 1.0000, Test Loss: 0.2388, Test Acc: 0.9800, Epoch time: 23.353469 seconds
Train Size: 80, Epoch: 10/100, Train Loss: 0.2332, Train Acc: 1.0000, Test Loss: 0.2095, Test Acc: 0.9800, Epoch time: 23.665766 seconds
Train Size: 80, Epoch: 11/100, Train Loss: 0.2035, Train Acc: 1.0000, Test Loss: 0.1835, Test Acc: 1.0000, Epoch time: 26.400584 seconds
Train Size: 80, Epoch: 12/100, Train Loss: 0.1782, Train Acc: 1.0000, Test Loss: 0.1632, Test Acc: 1.0000, Epoch time: 26.474627 seconds
Train Size: 80, Epoch: 13/100, Train Loss: 0.1573, Train Acc: 1.0000, Test Loss: 0.1468, Test Acc: 1.0000, Epoch time: 23.819229 seconds
Train Size: 80, Epoch: 14/100, Train Loss: 0.1366, Train Acc: 1.0000, Test Loss: 0.1283, Test Acc: 1.0000, Epoch time: 23.881732 seconds
Train Size: 80, Epoch: 15/100, Train Loss: 0.1211, Train Acc: 1.0000, Test Loss: 0.1169, Test Acc: 1.0000, Epoch time: 23.697828 seconds
Train Size: 80, Epoch: 16/100, Train Loss: 0.1068, Train Acc: 1.0000, Test Loss: 0.1043, Test Acc: 1.0000, Epoch time: 23.715734 seconds
Train Size: 80, Epoch: 17/100, Train Loss: 0.0960, Train Acc: 1.0000, Test Loss: 0.0948, Test Acc: 1.0000, Epoch time: 24.784507 seconds
Train Size: 80, Epoch: 18/100, Train Loss: 0.0879, Train Acc: 1.0000, Test Loss: 0.0874, Test Acc: 1.0000, Epoch time: 24.248754 seconds
Train Size: 80, Epoch: 19/100, Train Loss: 0.0807, Train Acc: 1.0000, Test Loss: 0.0795, Test Acc: 1.0000, Epoch time: 23.665194 seconds
Train Size: 80, Epoch: 20/100, Train Loss: 0.0727, Train Acc: 1.0000, Test Loss: 0.0740, Test Acc: 1.0000, Epoch time: 24.238363 seconds
Train Size: 80, Epoch: 21/100, Train Loss: 0.0662, Train Acc: 1.0000, Test Loss: 0.0682, Test Acc: 1.0000, Epoch time: 24.043856 seconds
Train Size: 80, Epoch: 22/100, Train Loss: 0.0606, Train Acc: 1.0000, Test Loss: 0.0657, Test Acc: 1.0000, Epoch time: 23.776017 seconds
Train Size: 80, Epoch: 23/100, Train Loss: 0.0571, Train Acc: 1.0000, Test Loss: 0.0618, Test Acc: 1.0000, Epoch time: 24.203145 seconds
Train Size: 80, Epoch: 24/100, Train Loss: 0.0524, Train Acc: 1.0000, Test Loss: 0.0572, Test Acc: 1.0000, Epoch time: 23.944152 seconds
Train Size: 80, Epoch: 25/100, Train Loss: 0.0491, Train Acc: 1.0000, Test Loss: 0.0544, Test Acc: 1.0000, Epoch time: 24.135416 seconds
Train Size: 80, Epoch: 26/100, Train Loss: 0.0461, Train Acc: 1.0000, Test Loss: 0.0499, Test Acc: 1.0000, Epoch time: 24.243301 seconds
Train Size: 80, Epoch: 27/100, Train Loss: 0.0428, Train Acc: 1.0000, Test Loss: 0.0486, Test Acc: 1.0000, Epoch time: 24.129640 seconds
Train Size: 80, Epoch: 28/100, Train Loss: 0.0408, Train Acc: 1.0000, Test Loss: 0.0469, Test Acc: 1.0000, Epoch time: 24.279451 seconds
